Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Keller;;2;0;Aktion;Dominion;0;1;0;0;0;0
Kapelle;;2;0;Aktion;Dominion;0;0;0;0;0;0
Burggraben;;2;0;Aktion Reaktion;Dominion;0;0;2;0;0;0
Kanzler;;3;0;Aktion;Dominion;0;0;0;2;0;0
Dorf;;3;0;Aktion;Dominion;0;2;1;0;0;0
Holzfäller;;3;0;Aktion;Dominion;1;0;0;2;0;0
Werkstatt;;3;0;Aktion;Dominion;0;0;0;0;0;0
Bürokrat;;4;0;Aktion Angriff;Dominion;0;0;0;0;0;0
Festmahl;;4;0;Aktion;Dominion;0;0;0;0;0;0
Gärten;;4;0;Punkte;Dominion;0;0;0;0;0;0
Miliz;;4;0;Aktion Angriff;Dominion;0;0;0;2;0;0
Geldverleiher;;4;0;Aktion;Dominion;0;0;0;0;0;0
Umbau;;4;0;Aktion;Dominion;0;0;0;0;0;0
Schmiede;;4;0;Aktion;Dominion;0;0;3;0;0;0
Spion;;4;0;Aktion Angriff;Dominion;0;1;1;0;0;0
Dieb;;4;0;Aktion Angriff;Dominion;0;0;0;0;0;0
Thronsaal;;4;0;Aktion;Dominion;0;0;0;0;0;0
Ratsversammlun;;5;0;Aktion;Dominion;1;0;4;0;0;0
Jahrmarkt;;5;0;Aktion;Dominion;1;2;0;2;0;0
Laboratorium;;5;0;Aktion;Dominion;0;1;2;0;0;0
Bibliothek;;5;0;Aktion;Dominion;0;0;0;0;0;0
Markt;;5;0;Aktion;Dominion;1;1;1;1;0;0
Mine;;5;0;Aktion;Dominion;0;0;0;0;0;0
Hexe;;5;0;Aktion Angriff;Dominion;0;0;2;0;0;1
Abenteurer;;6;0;Aktion;Dominion;0;0;0;0;0;0
