Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Weiler;;2;0;Aktion;Basiskarte;0;1;1;0;0;0
Wahrsagerin;;3;0;Aktion Angriff;Basiskarte;0;0;0;2;0;0
Menagerie;;3;0;Aktion;Basiskarte;0;1;0;0;0;0
Bauerndorf;;4;0;Aktion;Basiskarte;0;2;0;0;0;0
Pferdehändler;;4;0;Aktion Reaktion;Basiskarte;1;0;0;3;0;0
Nachbau;;4;0;Aktion;Basiskarte;0;0;0;0;0;0
Turnier;;4;0;Aktion;Basiskarte;0;1;0;0;0;0
Junge Hexe;;4;0;Aktion Angriff;Basiskarte;0;0;2;0;0;1
Ernte;;5;0;Aktion;Basiskarte;0;0;0;0;0;0
Füllhorn;;5;0;Geld;Basiskarte;0;0;0;0;0;0
Treibjagd;;5;0;Aktion;Basiskarte;0;1;1;0;0;0
Harlekin;;5;0;Aktion Angriff;Basiskarte;0;0;0;2;0;1
Festplatz;;6;0;Punkte;Basiskarte;0;0;0;0;0;0
