Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Leuchtenmacher;;2;0;Aktion;Die Gilden;1;1;0;0;0;0
Steinmetz;;2;0;Aktion;Die Gilden;0;0;0;0;0;0
Arzt;;3;0;Aktion;Die Gilden;0;0;0;0;0;0
Meisterstück;;3;0;Geld;Die Gilden;0;0;0;1;0;0
Berater;;4;0;Aktion;Die Gilden;0;1;0;0;0;0
Platz;;4;0;Aktion;Die Gilden;0;2;1;0;0;0
Steuereintreiber;;4;0;Aktion Angriff;Die Gilden;0;0;0;0;0;0
Herold;;4;0;Aktion;Die Gilden;0;1;1;0;0;0
Bäcker;;5;0;Aktion;Die Gilden;0;1;1;0;0;0
Metzger;;5;0;Aktion;Die Gilden;0;0;0;0;0;0
Wandergeselle;;5;0;Aktion;Die Gilden;0;0;0;0;0;0
Kaufmannsgilde;;5;0;Aktion;Die Gilden;1;0;0;1;0;0
Wahrsager;;5;0;Aktion Angriff;Die Gilden;0;0;0;0;0;1
