Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Lohn;;3;0;Geld;Blütezeit;0;0;0;0;0;0
Handelsroute;;3;0;Aktion;Blütezeit;1;0;0;0;0;0
Wachturm;;3;0;Aktion Reaktion;Blütezeit;0;0;0;0;0;0
Bischof;;4;0;Aktion;Blütezeit;0;0;0;1;1;0
Denkmal;;4;0;Aktion;Blütezeit;0;0;0;2;1;0
Steinbruch;;4;0;Geld;Blütezeit;0;0;0;0;0;0
Talisman;;4;0;Geld;Blütezeit;0;0;0;0;0;0
Arbeiterdorf;;4;0;Aktion;Blütezeit;1;2;1;0;0;0
Stadt;;5;0;Aktion;Blütezeit;0;2;1;0;0;0
Schmuggelware;;5;0;Geld;Blütezeit;1;0;0;0;0;0
Leihhaus;;5;0;Aktion;Blütezeit;0;0;0;0;0;0
Münzer;;5;0;Aktion;Blütezeit;0;0;0;0;0;0
Quacksalber;;5;0;Aktion Angriff;Blütezeit;0;0;0;2;0;1
Gesindel;;5;0;Aktion Angriff;Blütezeit;0;0;3;0;0;0
Königliches Siegel;;5;0;Geld;Blütezeit;0;0;0;0;0;0
Gewölbe;;5;0;Aktion;Blütezeit;0;0;2;0;0;0
Abenteuer;;5;0;Geld;Blütezeit;0;0;0;0;0;0
Halsabschneider;;6;0;Aktion Angriff;Blütezeit;1;0;0;2;0;0
Großer Markt;;6;0;Aktion;Blütezeit;1;1;1;2;0;0
Hort;;6;0;Geld;Blütezeit;0;0;0;0;0;0
Bank;;7;0;Geld;Blütezeit;0;0;0;0;0;0
Ausbau;;7;0;Aktion;Blütezeit;0;0;0;0;0;0
Kunstschmiede;;7;0;Aktion;Blütezeit;0;0;0;0;0;0
Königshof;;7;0;Aktion;Blütezeit;0;0;0;0;0;0
Hausierer;;8*;0;Aktion;Blütezeit;0;1;1;1;0;0
