id;Card Name;Requires;Description
119;Armenhaus;;
120;Bettler;;
121;Knappe;;
122;Landstreicher;;
123;Mundraub;;
124;Eremit;Verrückter;
125;Marktplatz;;
126;Weiser;;
127;Lagerraum;;
128;Gassenjunge;Söldner;
129;Waffenkammer;;
130;Leichenkarren;Ruine;
131;Lehen;;
132;Festung;;
133;Eisenhändler;;
134;Marodeur;Beute, Ruine;
135;Prozession;;
136;Ratten;;
137;Lumpensammler;;
138;Barde;;
139;Vogelfreie;;
140;Banditenlager;Beute;
141;Katakomben;;
142;Graf;;
143;Falschgeld;;
144;Kultist;Ruine;
145;Grabräuber;;
146;Schrotthändler;;
147;Ritter;;
148;Medium;;
149;Raubzug;Beute;
150;Neubau;;
151;Schurke;;
152;Altar;;
153;Jagdgründe;;
