Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Coin of the Realm;;2;0;Treasure Reserve;Adventures;0;0;0;1;0;0
Page;;2;0;Action Traveller;Adventures;0;1;1;0;0;0
Peasant;;2;0;Action Traveller;Adventures;1;0;0;1;0;0
Ratcatcher;;2;0;Action Reserve;Adventures;0;1;1;0;0;0
Raze;;2;0;Action;Adventures;0;1;0;0;0;0
Amulet;Choose one of three options;3;0;Action Duration;Adventures;0;0;0;0;0;0
Caravan Guard;;3;0;Action Duration Reaction;Adventures;0;1;1;0;0;0
Dungeon;;3;0;Action Duration;Adventures;0;1;0;0;0;0
Gear;;3;0;Action Duration;Adventures;0;0;2;0;0;0
Guide;;3;0;Action Reserve;Adventures;0;1;1;0;0;0
Duplicate;;4;0;Action Reserve;Adventures;0;0;0;0;0;0
Magpie;;4;0;Action;Adventures;0;1;1;0;0;0
Messenger;;4;0;Action;Adventures;1;0;0;2;0;0
Miser;;4;0;Action;Adventures;0;0;0;0;0;0
Port;;4;0;Action;Adventures;0;2;1;0;0;0
Ranger;;4;0;Action;Adventures;1;0;0;0;0;0
Transmogrify;;4;0;Action Reserve;Adventures;0;1;0;0;0;0
Artificer;;5;0;Action;Adventures;0;1;1;1;0;0
Bridge Troll;;5;0;Action Attack Duration;Adventures;1;0;0;0;0;0
Distant Lands;;5;0;Action Reserve Victory;Adventures;0;0;0;0;0;0
Giant;;5;0;Action Attack;Adventures;0;0;0;0;0;0
Haunted Woods;;5;0;Action Attack Duration;Adventures;0;0;3;0;0;0
Lost City;;5;0;Action;Adventures;0;2;2;0;0;0
Relic;;5;0;Treasure Attack;Adventures;0;0;0;2;0;0
Royal Carriage;;5;0;Action Reserve;Adventures;0;1;0;0;0;0
Storyteller;;5;0;Action;Adventures;0;1;0;1;0;0
Swamp Hag;;5;0;Action Attack Duration;Adventures;0;0;0;0;0;1
Treasure Trove;;5;0;Treasure;Adventures;0;0;0;2;0;0
Wine Merchant;;5;0;Action Reserve;Adventures;1;0;0;4;0;0
Hireling;This stays in play;6;0;Action Duration;Adventures;0;0;1;0;0;0
Alms;;0;0;Event;Adventures;0;0;0;0;0;0
Borrow;;0;0;Event;Adventures;1;0;0;0;0;0
Quest;Discard for gold;0;0;Event;Adventures;0;0;0;0;0;0
Save;;1;0;Event;Adventures;1;0;0;0;0;0
Scouting Party;;2;0;Event;Adventures;1;0;0;0;0;0
Travelling Fair;;2;0;Event;Adventures;2;0;0;0;0;0
Bonfire;Trash up to 2 cards in play.;3;0;Event;Adventures;0;0;0;0;0;0
Expedition;Draw 2 extra cards next round.;3;0;Event;Adventures;0;0;0;0;0;0
Ferry;;3;0;Event;Adventures;0;0;0;0;0;0
Plan;;3;0;Event;Adventures;0;0;0;0;0;0
Mission;;4;0;Event;Adventures;0;0;0;0;0;0
Pilgrimage;;4;0;Event;Adventures;0;0;0;0;0;0
Ball;;5;0;Event;Adventures;0;0;0;0;0;0
Raid;;5;0;Event;Adventures;0;0;0;0;0;0
Seaway;;5;0;Event;Adventures;0;0;0;0;0;0
Trade;Trash for silver;5;0;Event;Adventures;0;0;0;0;0;0
Lost Arts;;6;0;Event;Adventures;0;0;0;0;0;0
Training;;6;0;Event;Adventures;0;0;0;0;0;0
Inheritance;;7;0;Event;Adventures;0;0;0;0;0;0
Pathfinding;;8;0;Event;Adventures;0;0;0;0;0;0
