Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Hamlet;;2;0;Action;Cornucopia;0;1;1;0;0;0
Fortune Teller;;3;0;Action Attack;Cornucopia;0;0;0;2;0;0
Menagerie;;3;0;Action;Cornucopia;0;1;0;0;0;0
Farming Village;;4;0;Action;Cornucopia;0;2;0;0;0;0
Horse Traders;;4;0;Action Reaction;Cornucopia;1;0;0;3;0;0
Remake;;4;0;Action;Cornucopia;0;0;0;0;0;0
Tournament;;4;0;Action;Cornucopia;0;1;0;0;0;0
Young Witch;;4;0;Action Attack;Cornucopia;0;0;2;0;0;1
Harvest;;5;0;Action;Cornucopia;0;0;0;0;0;0
Horn of Plenty;;5;0;Treasure;Cornucopia;0;0;0;0;0;0
Hunting Party;;5;0;Action;Cornucopia;0;1;1;0;0;0
Jester;;5;0;Action Attack;Cornucopia;0;0;0;2;0;1
Fairgrounds;;6;0;Victory;Cornucopia;0;0;0;0;0;0
