Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Embargo;;2;0;Action;Seaside;0;0;0;2;0;1
Haven;;2;0;Action Duration;Seaside;0;1;1;0;0;0
Lighthouse;;2;0;Action Duration;Seaside;0;1;0;1;0;0
Native Village;;2;0;Action;Seaside;0;2;0;0;0;0
Pearl Diver;;2;0;Action;Seaside;0;1;1;0;0;0
Ambassador;;3;0;Action Attack;Seaside;0;0;0;0;0;0
Fishing Village;;3;0;Action Duration;Seaside;0;2;0;1;0;0
Lookout;;3;0;Action;Seaside;0;1;0;0;0;0
Smugglers;;3;0;Action;Seaside;0;0;0;0;0;0
Warehouse;;3;0;Action;Seaside;0;1;3;0;0;0
Caravan;;4;0;Action Duration;Seaside;0;1;1;0;0;0
Cutpurse;;4;0;Action Attack;Seaside;0;0;0;2;0;0
Island;;4;0;Action Victory;Seaside;0;0;0;0;0;0
Navigator;;4;0;Action;Seaside;0;0;0;2;0;0
Pirate Ship;;4;0;Action Attack;Seaside;0;0;0;0;0;0
Salvager;;4;0;Action;Seaside;1;0;0;0;0;0
Sea Hag;;4;0;Action Attack;Seaside;0;0;0;0;0;1
Treasure Map;;4;0;Action;Seaside;0;0;0;0;0;0
Bazaar;;5;0;Action;Seaside;0;2;1;1;0;0
Explorer;;5;0;Action;Seaside;0;0;0;0;0;0
Ghost Ship;;5;0;Action Attack;Seaside;0;0;2;0;0;0
Merchant Ship;;5;0;Action Duration;Seaside;0;0;0;2;0;0
Outpost;;5;0;Action Duration;Seaside;0;0;0;0;0;0
Tactician;;5;0;Action Duration;Seaside;0;0;0;0;0;0
Treasury;;5;0;Action;Seaside;0;1;1;1;0;0
Wharf;;5;0;Action Duration;Seaside;1;0;2;0;0;0
