id;Card Name;Requires;Description
207;Coin of the Realm;;
208;Page;Upgrades;
209;Peasant;Upgrades, All +1 Tokens;
210;Ratcatcher;;
211;Raze;;
212;Amulet;;Choose one of three options
213;Caravan Guard;;
214;Dungeon;;
215;Gear;;
216;Guide;;
217;Duplicate;;
218;Magpie;;
219;Messenger;;
220;Miser;;
221;Port;;
222;Ranger;Journey Token;
223;Transmogrify;;
224;Artificer;;
225;Bridge Troll;-1 Coin Token;
226;Distant Lands;;
227;Giant;Journey Token, Curse;
228;Haunted Woods;;
229;Lost City;;
230;Relic;-1 Coin Token;
231;Royal Carriage;;
232;Storyteller;;
233;Swamp Hag;Curse;
234;Treasure Trove;;
235;Wine Merchant;;
236;Hireling;;This stays in play
237;Alms;;
238;Borrow;-1 Coin Token;
239;Quest;;Discard for gold
240;Save;;
241;Scouting Party;;
242;Travelling Fair;;
243;Bonfire;;Trash up to 2 cards in play.
244;Expedition;;Draw 2 extra cards next round.
245;Ferry;-2 Cost Token;
246;Plan;Trash Token;
247;Mission;;
248;Pilgrimage;Journey Token;
249;Ball;-1 Coin Token;
250;Raid;-1 Coin Token;
251;Seaway;+1 Buy Token;
252;Trade;;Trash for silver
253;Lost Arts;+1 Action Token;
254;Training;+1 Coin Token;
255;Inheritance;Estate Token;
256;Pathfinding;+1 Card Token;
