id;Card Name;Requires;Description
119;Poor House;;
120;Beggar;;
121;Squire;;
122;Vagrant;;
123;Forager;;
124;Hermit;Madman;
125;Market Square;;
126;Sage;;
127;Storeroom;;
128;Urchin;Mercenary;
129;Armory;;
130;Death Cart;Ruins;
131;Feodum;;
132;Fortress;;
133;Ironmonger;;
134;Marauder;Spoils, Ruins;
135;Procession;;
136;Rats;;
137;Scavenger;;
138;Wandering Minstrel;;
139;Band of Misfits;;
140;Bandit Camp;Spoils;
141;Catacombs;;
142;Count;;
143;Counterfeit;;
144;Cultist;Ruins;
145;Graverobber;;
146;Junk Dealer;;
147;Knights;;
148;Mystic;;
149;Pillage;Spoils;
150;Rebuild;;
151;Rogue;;
152;Altar;;
153;Hunting Grounds;;
