Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Erborista;;3;0;Azione;Alchimia;1;0;0;1;0;0
Apprendista;;5;0;Azione;Alchimia;0;1;0;0;0;0
Trasmutazione;;0;1;Azione;Alchimia;0;0;0;0;0;0
Vigna;;0;1;Vittoria;Alchimia;0;0;0;0;0;0
Farmacista;;2;1;Azione;Alchimia;0;1;1;0;0;0
Divinazione;;2;1;Azione Attacco;Alchimia;0;1;0;0;0;0
Università;;2;1;Azione;Alchimia;0;2;0;0;0;0
Alchimista;;3;1;Azione;Alchimia;0;1;2;0;0;0
Famiglio;;3;1;Azione Attacco;Alchimia;0;1;1;0;0;1
Pietra Filosofale;;3;1;Tesoro;Alchimia;0;0;0;0;0;0
Golem;;4;1;Azione;Alchimia;0;0;0;0;0;0
Possessione;;6;1;Azione;Alchimia;0;0;0;0;0;0
