Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Sotterraneo;;2;0;Azione;Base;0;1;0;0;0;0
Cappella;;2;0;Azione;Base;0;0;0;0;0;0
Fossato;;2;0;Azione Reazione;Base;0;0;2;0;0;0
Cancelliere;;3;0;Azione;Base;0;0;0;2;0;0
Villaggio;;3;0;Azione;Base;0;2;1;0;0;0
Taglialegna;;3;0;Azione;Base;1;0;0;2;0;0
Officina;;3;0;Azione;Base;0;0;0;0;0;0
Burocrate;;4;0;Azione Attacco;Base;0;0;0;0;0;0
Banchetto;;4;0;Azione;Base;0;0;0;0;0;0
Giardini;;4;0;Vittoria;Base;0;0;0;0;0;0
Milizia;;4;0;Azione Attacco;Base;0;0;0;2;0;0
Usuraio;;4;0;Azione;Base;0;0;0;0;0;0
Miglioria;;4;0;Azione;Base;0;0;0;0;0;0
Fucina;;4;0;Azione;Base;0;0;3;0;0;0
Spia;;4;0;Azione Attacco;Base;0;1;1;0;0;0
Ladro;;4;0;Azione Attacco;Base;0;0;0;0;0;0
Sala del Trono;;4;0;Azione;Base;0;0;0;0;0;0
Sala del Consiglio;;5;0;Azione;Base;1;0;4;0;0;0
Fiera;;5;0;Azione;Base;1;2;0;2;0;0
Laboratorio;;5;0;Azione;Base;0;1;2;0;0;0
Biblioteca;;5;0;Azione;Base;0;0;0;0;0;0
Mercato;;5;0;Azione;Base;1;1;1;1;0;0
Miniera;;5;0;Azione;Base;0;0;0;0;0;0
Strega;;5;0;Azione Attacco;Base;0;0;2;0;0;1
Esploratore;;6;0;Azione;Base;0;0;0;0;0;0
