Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Borgo;;2;0;Azione;Cornucopia;0;1;1;0;0;0
Indovina;;3;0;Azione Attacco;Cornucopia;0;0;0;2;0;0
Serraglio;;3;0;Azione;Cornucopia;0;1;0;0;0;0
Villaggio Agricolo;;4;0;Azione;Cornucopia;0;2;0;0;0;0
Mercante di Cavalli;;4;0;Azione Reazione;Cornucopia;1;0;0;3;0;0
Rifacimento;;4;0;Azione;Cornucopia;0;0;0;0;0;0
Torneo;;4;0;Azione;Cornucopia;0;1;0;0;0;0
Giovane Strega;;4;0;Azione Attacco;Cornucopia;0;0;2;0;0;1
Mietitura;;5;0;Azione;Cornucopia;0;0;0;0;0;0
Cornucopia;;5;0;Tesoro;Cornucopia;0;0;0;0;0;0
Battuta di Caccia;;5;0;Azione;Cornucopia;0;1;1;0;0;0
Giullare;;5;0;Azione Attacco;Cornucopia;0;0;0;2;0;1
Mercatino;;6;0;Vittoria;Cornucopia;0;0;0;0;0;0
