Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Incrocio;;2;0;Azione;Nuovi Orizzonti;0;0;0;0;0;0
Duchessa;;2;0;Azione;Nuovi Orizzonti;0;0;0;2;0;0
Oro dello Stolto;;2;0;Tesoro Reazione;Nuovi Orizzonti;0;0;0;0;0;0
Sviluppo;;3;0;Azione;Nuovi Orizzonti;0;0;0;0;0;0
Oasi;;3;0;Azione;Nuovi Orizzonti;0;1;1;1;0;0
Oracolo;;3;0;Azione Attacco;Nuovi Orizzonti;0;0;2;0;0;0
Macchinazione;;3;0;Azione;Nuovi Orizzonti;0;1;1;0;0;0
Galleria;;3;0;Vittoria Reazione;Nuovi Orizzonti;0;0;0;0;0;0
Tuttofare;;4;0;Azione;Nuovi Orizzonti;0;0;0;0;0;0
Ladro Gentiluomo;;4;0;Azione Attacco;Nuovi Orizzonti;0;0;0;1;0;0
Campo Nomadi;;4;0;Azione;Nuovi Orizzonti;1;0;0;2;0;0
Via della Seta;;4;0;Vittoria;Nuovi Orizzonti;0;0;0;0;0;0
Mercante di Spezia;;4;0;Azione;Nuovi Orizzonti;0;0;0;0;0;0
Commerciante;;4;0;Azione Reazione;Nuovi Orizzonti;0;0;0;0;0;0
Forziere;;5;0;Tesoro;Nuovi Orizzonti;0;0;0;3;0;0
Cartografo;;5;0;Azione;Nuovi Orizzonti;0;1;1;0;0;0
Diplomatico;;5;0;Azione;Nuovi Orizzonti;0;0;5;0;0;0
Contrattazione;;5;0;Azione;Nuovi Orizzonti;0;0;0;2;0;0
Strada Maestra;;5;0;Azione;Nuovi Orizzonti;0;1;1;0;0;0
Infame Profitto;;5;0;Tesoro;Nuovi Orizzonti;0;0;0;1;0;1
Locanda;;5;0;Azione;Nuovi Orizzonti;0;2;2;0;0;0
Mandarino;;5;0;Azione;Nuovi Orizzonti;0;0;0;3;0;0
Margravio;;5;0;Azione Attacco;Nuovi Orizzonti;1;0;3;0;0;0
Stalla;;5;0;Azione;Nuovi Orizzonti;0;0;0;0;0;0
Villaggio di Frontiera;;6;0;Azione;Nuovi Orizzonti;0;2;1;0;0;0
Terra Coltivata;;6;0;Vittoria;Nuovi Orizzonti;0;0;0;0;0;0
