Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Prestito;;3;0;Tesoro;Prosperità;0;0;0;0;0;0
Mercante;;3;0;Azione;Prosperità;1;0;0;0;0;0
Torre di Guardia;;3;0;Reazione;Prosperità;0;0;0;0;0;0
Vescovo;;4;0;Azione;Prosperità;0;0;0;1;1;0
Monumento;;4;0;Azione;Prosperità;0;0;0;2;1;0
Cava;;4;0;Tesoro;Prosperità;0;0;0;0;0;0
Talismano;;4;0;Tesoro;Prosperità;0;0;0;0;0;0
Cantiere;;4;0;Azione;Prosperità;1;2;1;0;0;0
Città;;5;0;Azione;Prosperità;0;2;1;0;0;0
Contrabbando;;5;0;Tesoro;Prosperità;1;0;0;0;0;0
Contabilità;;5;0;Azione;Prosperità;0;0;0;0;0;0
Zecca;;5;0;Azione;Prosperità;0;0;0;0;0;0
Ciarlatano;;5;0;Azione Attacco;Prosperità;0;0;0;2;0;1
Tumulto;;5;0;Azione Attacco;Prosperità;0;0;3;0;0;0
Sigillo Reale;;5;0;Tesoro;Prosperità;0;0;0;0;0;0
Nascondiglio;;5;0;Azione;Prosperità;0;0;2;0;0;0
Soldo;;5;0;Tesoro;Prosperità;0;0;0;0;0;0
Scagnozzi;;6;0;Azione Attacco;Prosperità;1;0;0;2;0;0
Mercato di Lusso;;6;0;Azione;Prosperità;1;1;1;2;0;0
Mucchio;;6;0;Tesoro;Prosperità;0;0;0;0;0;0
Banca;;7;0;Tesoro;Prosperità;0;0;0;0;0;0
Ampliamento;;7;0;Azione;Prosperità;0;0;0;0;0;0
Incastonare;;7;0;Azione;Prosperità;0;0;0;0;0;0
Corte;;7;0;Azione;Prosperità;0;0;0;0;0;0
Ambulante;;8*;0;Azione;Prosperità;0;1;1;1;0;0
