id;Card Name;Requires;Description
180;Incrocio;;
181;Duchessa;;
182;Oro dello Stolto;;
183;Sviluppo;;
184;Oasi;;
185;Oracolo;;
186;Macchinazione;;
187;Galleria;;
188;Tuttofare;;
189;Ladro Gentiluomo;;
190;Campo Nomadi;;
191;Via della Seta;;
192;Mercante di Spezia;;
193;Commerciante;;
194;Forziere;;
195;Cartografo;;
196;Diplomatico;;
197;Contrattazione;;
198;Strada Maestra;;
199;Infame Profitto;Curse;
200;Locanda;;
201;Mandarino;;
202;Margravio;;
203;Stalla;;
204;Villaggio di Frontiera;;
205;Terra Coltivata;;
