Names;Descriptions;Cost;Potion;Category;Set;+Buy;+Action;+Card;+Gold;+Victory;Curser
Adega;;2;0;Ação;Base;0;1;0;0;0;0
Capela;;2;0;Ação;Base;0;0;0;0;0;0
Fosso;;2;0;Ação Reação;Base;0;0;2;0;0;0
Chanceler;Bum chin.;3;0;Ação;Base;0;0;0;2;0;0
Aldeia;;3;0;Ação;Base;0;2;1;0;0;0
Lenhador;;3;0;Ação;Base;1;0;0;2;0;0
Oficina;;3;0;Ação;Base;0;0;0;0;0;0
Burocrata;;4;0;Ação Ataque;Base;0;0;0;0;0;0
Banquete;;4;0;Ação;Base;0;0;0;0;0;0
Jardins;;4;0;Vitória;Base;0;0;0;0;0;0
Milícia;;4;0;Ação Ataque;Base;0;0;0;2;0;0
Agiota;;4;0;Ação;Base;0;0;0;0;0;0
Remodelar;;4;0;Ação;Base;0;0;0;0;0;0
Forja;;4;0;Ação;Base;0;0;3;0;0;0
Espião;;4;0;Ação Ataque;Base;0;1;1;0;0;0
Ladrão;;4;0;Ação Ataque;Base;0;0;0;0;0;0
Sala do Trono;;4;0;Ação;Base;0;0;0;0;0;0
Sala do Conselho;;5;0;Ação;Base;1;0;4;0;0;0
Festival;;5;0;Ação;Base;1;2;0;2;0;0
Laboratório;;5;0;Ação;Base;0;1;2;0;0;0
Biblioteca;;5;0;Ação;Base;0;0;0;0;0;0
Mercado;;5;0;Ação;Base;1;1;1;1;0;0
Mina;;5;0;Ação;Base;0;0;0;0;0;0
Bruxa;;5;0;Ação Ataque;Base;0;0;2;0;0;1
Aventureiro;;6;0;Ação;Base;0;0;0;0;0;0
