;;;;;;;;;;Card Type;;;;;;;;;;;Meta Type
id;Card Name;Set ID;Cost;Potion;+Buy;+Action;+Card;+Coin;+Victory;Action;Reaction;Treasure;Attack;Victory;Duration;Looter;Knight;Reserve;Traveller;Event;Curser
207;Coin of the Realm;15;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
208;Page;15;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
209;Peasant;15;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
210;Ratcatcher;15;2;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
211;Raze;15;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
212;Amulet;15;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
213;Caravan Guard;15;3;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
214;Dungeon;15;3;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
215;Gear;15;3;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0
216;Guide;15;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
217;Duplicate;15;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
218;Magpie;15;4;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
219;Messenger;15;4;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
220;Miser;15;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
221;Port;15;4;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
222;Ranger;15;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
223;Transmogrify;15;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
224;Artificer;15;5;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
225;Bridge Troll;15;5;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
226;Distant Lands;15;5;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
227;Giant;15;5;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
228;Haunted Woods;15;5;0;0;0;3;0;0;1;0;0;1;0;1;0;0;0;0;0;0
229;Lost City;15;5;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
230;Relic;15;5;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0
231;Royal Carriage;15;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
232;Storyteller;15;5;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
233;Swamp Hag;15;5;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1
234;Treasure Trove;15;5;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
235;Wine Merchant;15;5;0;1;0;0;4;0;1;0;0;0;0;0;0;0;1;0;0;0
236;Hireling;15;6;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
237;Alms;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
238;Borrow;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
239;Quest;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
240;Save;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
241;Scouting Party;15;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
242;Travelling Fair;15;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
243;Bonfire;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
244;Expedition;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
245;Ferry;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
246;Plan;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
247;Mission;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
248;Pilgrimage;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
249;Ball;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
250;Raid;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
251;Seaway;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
252;Trade;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
253;Lost Arts;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
254;Training;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
255;Inheritance;15;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
256;Pathfinding;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
