										Card Type											Meta Type
id	Card Name	Set ID	Cost	Potion	+Buy	+Action	+Card	+Coin	+Victory	Action	Reaction	Treasure	Attack	Victory	Duration	Looter	Knight	Reserve	Traveller	Event	Curser
154	Hamlet	3	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
155	Fortune Teller	3	3	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
156	Menagerie	3	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
157	Farming Village	3	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
158	Horse Traders	3	4	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0
159	Remake	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
160	Tournament	3	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
161	Young Witch	3	4	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1
162	Harvest	3	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
163	Horn of Plenty	3	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
164	Hunting Party	3	5	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
165	Jester	3	5	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1
166	Fairgrounds	3	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
