;;;;;;;;;;Card Type;;;;;;;;;;;Meta Type
id;Card Name;Set ID;Cost;Potion;+Buy;+Action;+Card;+Coin;+Victory;Action;Reaction;Treasure;Attack;Victory;Duration;Looter;Knight;Reserve;Traveller;Event;Curser
43;Courtyard;9;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
44;Pawn;9;2;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
45;Secret Chamber;9;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
46;Great Hall;9;3;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
47;Masquerade;9;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
48;Shanty Town;9;3;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
49;Steward;9;3;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
50;Swindler;9;3;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0
51;Wishing Well;9;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
52;Baron;9;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
53;Bridge;9;4;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
54;Conspirator;9;4;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
55;Coppersmith;9;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
56;Ironworks;9;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
57;Mining Village;9;4;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
58;Scout;9;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
59;Duke;9;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
60;Minion;9;5;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
61;Saboteur;9;5;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
62;Torturer;9;5;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;1
63;Trading Post;9;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
64;Tribute;9;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
65;Upgrade;9;5;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
66;Harem;9;6;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
67;Nobles;9;6;0;0;2;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0
