id	Set	Name	Type	Requires	Description	Details
31	Alchemisten	Kräuterkundiger	Aktion			
32	Alchemisten	Lehrling	Aktion			
33	Alchemisten	Verwandlung	Aktion			
34	Alchemisten	Weinberg	Punkte			
35	Alchemisten	Apotheker	Aktion			
36	Alchemisten	Vision	Aktion Angriff			
37	Alchemisten	Universität	Aktion			
38	Alchemisten	Alchemist	Aktion			
39	Alchemisten	Vertrauter	Aktion Angriff	Benötigt: Fluch		
40	Alchemisten	Stein der Weisen	Geld			
41	Alchemisten	Golem	Aktion			
42	Alchemisten	Besessenheit	Aktion			
