id	Set	Name	Type	Requires	Description	Details
119	Dark Ages	Armenhaus	Aktion			
120	Dark Ages	Bettler	Aktion Reaktion			
121	Dark Ages	Knappe	Aktion			
122	Dark Ages	Landstreicher	Aktion			
123	Dark Ages	Mundraub	Aktion			
124	Dark Ages	Eremit	Aktion	Benötigt: Verrückter		
125	Dark Ages	Marktplatz	Aktion Reaktion			
126	Dark Ages	Weiser	Aktion			
127	Dark Ages	Lagerraum	Aktion			
128	Dark Ages	Gassenjunge	Aktion Angriff	Benötigt: Söldner		
129	Dark Ages	Waffenkammer	Aktion			
130	Dark Ages	Leichenkarren	Aktion Angriff	Benötigt: Ruine		
131	Dark Ages	Lehen	Punkte			
132	Dark Ages	Festung	Aktion			
133	Dark Ages	Eisenhändler	Aktion Angriff			
134	Dark Ages	Marodeur	Aktion Angriff Plündern	Benötigt: Beute, Ruine		
135	Dark Ages	Prozession	Aktion			
136	Dark Ages	Ratten	Aktion			
137	Dark Ages	Lumpensammler	Aktion			
138	Dark Ages	Barde	Aktion			
139	Dark Ages	Vogelfreie	Aktion			
140	Dark Ages	Banditenlager	Aktion	Benötigt: Beute		
141	Dark Ages	Katakomben	Aktion			
142	Dark Ages	Graf	Aktion			
143	Dark Ages	Falschgeld	Geld			
144	Dark Ages	Kultist	Aktion Angriff Plündern	Benötigt: Ruine		
145	Dark Ages	Grabräuber	Aktion			
146	Dark Ages	Schrotthändler	Aktion			
147	Dark Ages	Ritter	Aktion Angriff Ritter			
148	Dark Ages	Medium	Aktion			
149	Dark Ages	Raubzug	Aktion Angriff	Benötigt: Beute		
150	Dark Ages	Neubau	Aktion			
151	Dark Ages	Schurke	Aktion			
152	Dark Ages	Altar	Aktion			
153	Dark Ages	Jagdgründe	Aktion			
