id	Set	Name	Type	Requires	Description	Details
167	Die Gilden	Leuchtenmacher	Aktion	Benötigt: Münzechip		
168	Die Gilden	Steinmetz	Aktion			
169	Die Gilden	Arzt	Aktion			
170	Die Gilden	Meisterstück	Geld			
171	Die Gilden	Berater	Aktion			
172	Die Gilden	Platz	Aktion	Benötigt: Münzechip		
173	Die Gilden	Steuereintreiber	Aktion Angriff			
174	Die Gilden	Herold	Aktion			
175	Die Gilden	Bäcker	Aktion	Benötigt: Münzechip		
176	Die Gilden	Metzger	Aktion	Benötigt: Münzechip		
177	Die Gilden	Wandergeselle	Aktion			
178	Die Gilden	Kaufmannsgilde	Aktion	Benötigt: Münzechip		
179	Die Gilden	Wahrsager	Aktion Angriff	Benötigt: Fluch		
