id	Set	Name	Type	Requires	Description	Details
6	Base	Cellar	Action			
7	Base	Chapel	Action			
8	Base	Moat	Action Reaction			
9	Base	Chancellor	Action			
10	Base	Village	Action			
11	Base	Woodcutter	Action			
12	Base	Workshop	Action			
13	Base	Bureaucrat	Action Attack			
14	Base	Feast	Action			
15	Base	Gardens	Victory			
16	Base	Militia	Action Attack			
17	Base	Moneylender	Action			
18	Base	Remodel	Action			
19	Base	Smithy	Action			
20	Base	Spy	Action Attack			
21	Base	Thief	Action Attack			
22	Base	Throne Room	Action			
23	Base	Council Room	Action			
24	Base	Festival	Action			
25	Base	Laboratory	Action			
26	Base	Library	Action			
27	Base	Market	Action			
28	Base	Mine	Action			
29	Base	Witch	Action Attack	Requires: Curse		
30	Base	Adventurer	Action			
