id	Set	Name	Type	Requires	Description
154	Cornucopia	Hamlet	Action		
155	Cornucopia	Fortune Teller	Action Attack		
156	Cornucopia	Menagerie	Action		
157	Cornucopia	Farming Village	Action		
158	Cornucopia	Horse Traders	Action Reaction		
159	Cornucopia	Remake	Action		
160	Cornucopia	Tournament	Action	Prizes, Curse	
161	Cornucopia	Young Witch	Action Attack	Curse	
162	Cornucopia	Harvest	Action		
163	Cornucopia	Horn of Plenty	Treasure		
164	Cornucopia	Hunting Party	Action		
165	Cornucopia	Jester	Action Attack	Curse	
166	Cornucopia	Fairgrounds	Victory		
