id	Set	Name	Type	Requires	Description
119	Dark Ages	Poor House	Action		
120	Dark Ages	Beggar	Action Reaction		
121	Dark Ages	Squire	Action		
122	Dark Ages	Vagrant	Action		
123	Dark Ages	Forager	Action		
124	Dark Ages	Hermit	Action	Madman	
125	Dark Ages	Market Square	Action Reaction		
126	Dark Ages	Sage	Action		
127	Dark Ages	Storeroom	Action		
128	Dark Ages	Urchin	Action Attack	Mercenary	
129	Dark Ages	Armory	Action		
130	Dark Ages	Death Cart	Action Attack	Ruins	
131	Dark Ages	Feodum	Victory		
132	Dark Ages	Fortress	Action		
133	Dark Ages	Ironmonger	Action Attack		
134	Dark Ages	Marauder	Action Attack Looter	Spoils, Ruins	
135	Dark Ages	Procession	Action		
136	Dark Ages	Rats	Action		
137	Dark Ages	Scavenger	Action		
138	Dark Ages	Wandering Minstrel	Action		
139	Dark Ages	Band of Misfits	Action		
140	Dark Ages	Bandit Camp	Action	Spoils	
141	Dark Ages	Catacombs	Action		
142	Dark Ages	Count	Action		
143	Dark Ages	Counterfeit	Treasure		
144	Dark Ages	Cultist	Action Attack Looter	Ruins	
145	Dark Ages	Graverobber	Action		
146	Dark Ages	Junk Dealer	Action		
147	Dark Ages	Knights	Action Attack Knight		
148	Dark Ages	Mystic	Action		
149	Dark Ages	Pillage	Action Attack	Spoils	
150	Dark Ages	Rebuild	Action		
151	Dark Ages	Rogue	Action		
152	Dark Ages	Altar	Action		
153	Dark Ages	Hunting Grounds	Action		
