id	Set	Name	Type	Requires	Description	Details
167	Guilds	Candlestick Maker	Action	Requires: Coin Token		
168	Guilds	Stonemason	Action		Overpay Functionality	
169	Guilds	Doctor	Action		Overpay Functionality	
170	Guilds	Masterpiece	Treasure		Overpay Functionality	
171	Guilds	Advisor	Action			
172	Guilds	Plaza	Action	Requires: Coin Token		
173	Guilds	Taxman	Action Attack			
174	Guilds	Herald	Action		Overpay Functionality	
175	Guilds	Baker	Action	Requires: Coin Token		
176	Guilds	Butcher	Action	Requires: Coin Token		
177	Guilds	Journeyman	Action			
178	Guilds	Merchant Guild	Action	Requires: Coin Token		
179	Guilds	Soothsayer	Action Attack	Requires: Curse		
