id	Set	Name	Type	Requires	Description	Details
43	Intrigue	Courtyard	Action			
44	Intrigue	Pawn	Action			
45	Intrigue	Secret Chamber	Action Reaction			
46	Intrigue	Great Hall	Action Victory			
47	Intrigue	Masquerade	Action			
48	Intrigue	Shanty Town	Action			
49	Intrigue	Steward	Action			
50	Intrigue	Swindler	Action Attack			
51	Intrigue	Wishing Well	Action			
52	Intrigue	Baron	Action			
53	Intrigue	Bridge	Action			
54	Intrigue	Conspirator	Action			
55	Intrigue	Coppersmith	Action			
56	Intrigue	Ironworks	Action			
57	Intrigue	Mining Village	Action			
58	Intrigue	Scout	Action			
59	Intrigue	Duke	Victory			
60	Intrigue	Minion	Action Attack			
61	Intrigue	Saboteur	Action Attack			
62	Intrigue	Torturer	Action Attack	Requires: Curse		
63	Intrigue	Trading Post	Action			
64	Intrigue	Tribute	Action			
65	Intrigue	Upgrade	Action			
66	Intrigue	Harem	Treasure Victory			
67	Intrigue	Nobles	Action Victory			
