id	Set	Name	Type	Requires	Description	Details
6	Base	Sotterraneo	Azione			
7	Base	Cappella	Azione			
8	Base	Fossato	Azione Reazione			
9	Base	Cancelliere	Azione			
10	Base	Villaggio	Azione			
11	Base	Taglialegna	Azione			
12	Base	Officina	Azione			
13	Base	Burocrate	Azione Attacco			
14	Base	Banchetto	Azione			
15	Base	Giardini	Vittoria			
16	Base	Milizia	Azione Attacco			
17	Base	Usuraio	Azione			
18	Base	Miglioria	Azione			
19	Base	Fucina	Azione			
20	Base	Spia	Azione Attacco			
21	Base	Ladro	Azione Attacco			
22	Base	Sala del Trono	Azione			
23	Base	Sala del Consiglio	Azione			
24	Base	Fiera	Azione			
25	Base	Laboratorio	Azione			
26	Base	Biblioteca	Azione			
27	Base	Mercato	Azione			
28	Base	Miniera	Azione			
29	Base	Strega	Azione Attacco	Requires: Curse		
30	Base	Esploratore	Azione			
