id	Set	Name	Type	Requires	Description
180	Nuovi Orizzonti	Incrocio	Azione		
181	Nuovi Orizzonti	Duchessa	Azione		
182	Nuovi Orizzonti	Oro dello Stolto	Tesoro Reazione		
183	Nuovi Orizzonti	Sviluppo	Azione		
184	Nuovi Orizzonti	Oasi	Azione		
185	Nuovi Orizzonti	Oracolo	Azione Attacco		
186	Nuovi Orizzonti	Macchinazione	Azione		
187	Nuovi Orizzonti	Galleria	Vittoria Reazione		
188	Nuovi Orizzonti	Tuttofare	Azione		
189	Nuovi Orizzonti	Ladro Gentiluomo	Azione Attacco		
190	Nuovi Orizzonti	Campo Nomadi	Azione		
191	Nuovi Orizzonti	Via della Seta	Vittoria		
192	Nuovi Orizzonti	Mercante di Spezia	Azione		
193	Nuovi Orizzonti	Commerciante	Azione Reazione		
194	Nuovi Orizzonti	Forziere	Tesoro		
195	Nuovi Orizzonti	Cartografo	Azione		
196	Nuovi Orizzonti	Diplomatico	Azione		
197	Nuovi Orizzonti	Contrattazione	Azione		
198	Nuovi Orizzonti	Strada Maestra	Azione		
199	Nuovi Orizzonti	Infame Profitto	Tesoro	Curse	
200	Nuovi Orizzonti	Locanda	Azione		
201	Nuovi Orizzonti	Mandarino	Azione		
202	Nuovi Orizzonti	Margravio	Azione Attacco		
203	Nuovi Orizzonti	Stalla	Azione		
204	Nuovi Orizzonti	Villaggio di Frontiera	Azione		
205	Nuovi Orizzonti	Terra Coltivata	Vittoria		
