id	Set	Name	Type	Requires	Description	Details
43	Intrigo	Cortile di Campagna	Azione			
44	Intrigo	Pedina	Azione			
45	Intrigo	Stanza Segreta	Azione Reazione			
46	Intrigo	Grande Salone	Azione Vittoria			
47	Intrigo	Ballo in Maschera	Azione			
48	Intrigo	Baraccopoli	Azione			
49	Intrigo	Maggiordomo	Azione			
50	Intrigo	Truffatore	Azione Attacco			
51	Intrigo	Pozzo dei Desideri	Azione			
52	Intrigo	Barone	Azione			
53	Intrigo	Ponte	Azione			
54	Intrigo	Cospiratore	Azione			
55	Intrigo	Battirame	Azione			
56	Intrigo	Fonderia	Azione			
57	Intrigo	Villaggio Minerario	Azione			
58	Intrigo	Scout	Azione			
59	Intrigo	Duca	Vittoria			
60	Intrigo	Tirapiedi	Azione Attacco			
61	Intrigo	Sabotatore	Azione Attacco			
62	Intrigo	Carceriere	Azione Attacco	Requires: Curse		
63	Intrigo	Stazione Commerciale	Azione			
64	Intrigo	Tributo	Azione			
65	Intrigo	Potenziameno	Azione			
66	Intrigo	Harem	Tesoro Vittoria			
67	Intrigo	Nobili	Azione Vittoria			
