id	Set	Name	Type	Requires	Description
68	Prosperità	Prestito	Tesoro		
69	Prosperità	Mercante	Azione	Coin Token, Trade Mat	
70	Prosperità	Torre di Guardia	Reazione		
71	Prosperità	Vescovo	Azione	Victory Token	
72	Prosperità	Monumento	Azione	Victory Token	
73	Prosperità	Cava	Tesoro		
74	Prosperità	Talismano	Tesoro		
75	Prosperità	Cantiere	Azione		
76	Prosperità	Città	Azione		
77	Prosperità	Contrabbando	Tesoro		
78	Prosperità	Contabilità	Azione		
79	Prosperità	Zecca	Azione		
80	Prosperità	Ciarlatano	Azione Attacco	Curse	
81	Prosperità	Tumulto	Azione Attacco		
82	Prosperità	Sigillo Reale	Tesoro		
83	Prosperità	Nascondiglio	Azione		
84	Prosperità	Soldo	Tesoro		
85	Prosperità	Scagnozzi	Azione Attacco	Victory Token	
86	Prosperità	Mercato di Lusso	Azione		
87	Prosperità	Mucchio	Tesoro		
88	Prosperità	Banca	Tesoro		
89	Prosperità	Ampliamento	Azione		
90	Prosperità	Incastonare	Azione		
91	Prosperità	Corte	Azione		
92	Prosperità	Ambulante	Azione		
