id	Set	Name	Type	Requires	Description	Details
6	Base	Adega	Ação			
7	Base	Capela	Ação			
8	Base	Fosso	Ação Reação			
9	Base	Chanceler	Ação			
10	Base	Aldeia	Ação			
11	Base	Lenhador	Ação			
12	Base	Oficina	Ação			
13	Base	Burocrata	Ação Ataque			
14	Base	Banquete	Ação			
15	Base	Jardins	Vitória			
16	Base	Milícia	Ação Ataque			
17	Base	Agiota	Ação			
18	Base	Remodelar	Ação			
19	Base	Forja	Ação			
20	Base	Espião	Ação Ataque			
21	Base	Ladrão	Ação Ataque			
22	Base	Sala do Trono	Ação			
23	Base	Sala do Conselho	Ação			
24	Base	Festival	Ação			
25	Base	Laboratório	Ação			
26	Base	Biblioteca	Ação			
27	Base	Mercado	Ação			
28	Base	Mina	Ação			
29	Base	Bruxa	Ação Ataque	Requires: Curse		
30	Base	Aventureiro	Ação			
