_id	language	name	type	requires	text	rules
1	de	Schwarzmarkt	Aktion		Decke die obersten 3 Karten vom Schwarzmarkt-Sapel auf. Du darfst sofort eine der aufgedeckten Karten kaufen. Lege die nicht gekauften Karten in beliebiger Reihenfolge unter den Schwarzmarkt-Stapel zurück. 	Der Schwarzmarkt-Stapel besteht laut Regelwerk aus einem mindestens 15 Karten großen extra verdeckt ausgelegten Stapel. Die dazugehörigen Karten werden ausgelost bzw. laut Regel einigen sich die Spieler. Es sind 15 einzelne Karten, die ausgewählt werden. Sicherlich wäre es hilfreich, wenn die App das könnte. Ich weiß natürlich nicht, wie aufwändig das ist. Jedenfalls ist das der Inhalt des Schwarzmarktes. 
2	de	Geldversteck	Geld			
3	de	Gesandter	Aktion			
4	de	Carcasonne	Aktion		<b>+1 Karte<br/>+2 Aktionen</b><br/><br/>Wenn du zu Beginn deiner Aufräumphase außer dieser Karte nur noch eine weitere Aktionskarte im Spiel hast, darfst du die Karte Carcassonne auf deinen Nachziehstapel legen.	
5	de	Gouverneur	Aktion		<b>+1 Aktion</b><br/><br/>Wähle eins (deine Mitspieler erhalten,was in Klammern angegeben ist):<br/><b>+3 Karten (+1 Karte)</b><br/>oder<br/>Nimm dir ein Gold (Silber)<br/>oder<br/>Jeder Spieler darf eine Karte aus seiner Hand entsorgen und nimmt sich dafür eine Karte die genau <c>2</c> (<c>1</c>) mehr kostet.	
6	de	Keller	Aktion		+1 Aktion, Lege eine beliebige Anzahl Handkarten ab. Ziehe für jede abgelegte Karte eine Karte nach.	Der ausgespielte KELLER selbst darf nicht abgelegt werden, da er sich nicht mehr in deiner Hand befindet. Sage an, wie viele Karten du ablegst und lege diese auf deinen Ablagestapel. Danach ziehst du die gleiche Anzahl Karten vom Nachziehstapel. Sollte während dieses Vorgangs der Nachziehstapel aufgebraucht werden, wird dein Ablagestapel zusammen mit den soeben abgelegten Karten gemischt und als neuer Nachziehstapel bereitgelegt.
7	de	Kapelle	Aktion		Entsorge bis zu vier Karten aus deiner Hand.	Die ausgespielte KAPELLE selbst darf nicht entsorgt werden, da sie sich nicht mehr auf der Hand befindet. Weitere KAPELLEN  auf der Hand dürfen entsorgt werden.
8	de	Burggraben	Aktion Reaktion		+2 Karten. Wenn ein Mitspieler eine Angriffskarte ausspielt, kannst du diese Karte aus deiner Hand vorzeigen. Der Angriff hat dann keine Wirkung auf dich.	Spielt ein anderer Spieler eine Angriffskarte (mit der Aufschrift AKTION - ANGRIFF), kannst du die Karte BURGGRABEN vorzeigen, falls du sie in diesem Moment auf der Hand hast. In diesem Fall bist du von den Auswirkungen des Angriffs nicht betroffen, d.h. du musst bei der HEXE keine Fluchkarte nehmen usw. Haben mehrere Spieler einen BURGGRABEN auf der Hand, dürfen diese auch eingesetzt und vorgezeigt werden. Danach nehmen die Spieler ihre Karte zurück auf die Hand. Der Spieler, der den Angriff gespielt hat, darf unabhängig davon, ob ein oder mehrere BURGGRÄBEN gespielt werden, die weiteren Anweisungen seiner Aktionskarte ausführen. Der BURGGRABEN darf auch in der eigenen Aktionsphase gespielt werden - dann ziehst du 2 Karten nach. 
9	de	Kanzler	Aktion		+2 Geld. Du kannst sofort deinen kompletten Nachziehstapel ablegen.	Legst du deinen Nachziehstapel auf deinen Ablagestapel, musst du dies tun, bevor du eine weitere Aktion ausspielst oder zur Kaufphase übergehst. Du darfst deinen Nachziehstapel nicht einsehen, bevor du ihn ablegst.
10	de	Dorf	Aktion		+1 Karte. +2 Aktionen.	Spielst du mehrere DÖRFER hintereinander, zählst du am besten laut mit, wie viele Aktionen du noch ausspielen darfst, damit du den Überblick behältst.  
