_id	language	name	type	requires	text	rules
1	en	Black Market	Action		<b>+<c>2</2></b><br/><br/>Reveal the top 3 cards of the Black Market deck. You may buy one of them immediately. Put the unbought cards on the bottom of the Black Market deck in any order.<br/><br/><i>(Before the game, make a Black Market deck out of one copy of each Kingdom card not in the supply.)</i>	
2	en	Stash	Treasure		<big> <c>2</c> </big><hr/>When you shuffle, you may put this anywhere in your deck.	
3	en	Envoy	Action		Reveal the top 5 cards of your deck. The player to your left chooses one for you to discard. Draw the rest.	
4	en	Walled Village	Action		<b>+1 Card<br/>+2 Actions</b><hr/>At the start of Clean-up, if you have this and no more than one other Action card in play, you may put this card on top of your deck.	
5	en	Governor	Action		<b>+1 Action</b><br/><br/>Choose one: you get the version in parenthesis:<br/>Each player gets +1 (+3) Cards; or each player gains a Silver (Gold); or each player may trash a card from his hand and gain a card costing exactly <c>1</c> (<c>2</c>) more.	
6	en	Cellar	Action			
7	en	Chapel	Action			
8	en	Moat	Action Reaction			
9	en	Chancellor	Action			
10	en	Village	Action			
11	en	Woodcutter	Action			
12	en	Workshop	Action			
13	en	Bureaucrat	Action Attack			
14	en	Feast	Action			
15	en	Gardens	Victory			
16	en	Militia	Action Attack			
17	en	Moneylender	Action			
18	en	Remodel	Action			
19	en	Smithy	Action			
20	en	Spy	Action Attack			
21	en	Thief	Action Attack			
22	en	Throne Room	Action			
23	en	Council Room	Action			
24	en	Festival	Action			
25	en	Laboratory	Action			
26	en	Library	Action			
27	en	Market	Action			
28	en	Mine	Action			
29	en	Witch	Action Attack	Requires: Curse		
30	en	Adventurer	Action			
31	en	Herbalist	Action			
32	en	Apprentice	Action			
33	en	Transmute	Action			
34	en	Vineyard	Victory			
35	en	Apothecary	Action			
36	en	Scrying Pool	Action Attack			
37	en	University	Action			
38	en	Alchemist	Action			
39	en	Familiar	Action Attack	Requires: Curse		
40	en	Philosopher's Stone	Treasure			
41	en	Golem	Action			
42	en	Possession	Action			
43	en	Courtyard	Action			
44	en	Pawn	Action			
45	en	Secret Chamber	Action Reaction			
46	en	Great Hall	Action Victory			
47	en	Masquerade	Action			
48	en	Shanty Town	Action			
49	en	Steward	Action			
50	en	Swindler	Action Attack			
51	en	Wishing Well	Action			
52	en	Baron	Action			
53	en	Bridge	Action			
54	en	Conspirator	Action			
55	en	Coppersmith	Action			
56	en	Ironworks	Action			
57	en	Mining Village	Action			
58	en	Scout	Action			
59	en	Duke	Victory			
60	en	Minion	Action Attack			
61	en	Saboteur	Action Attack			
62	en	Torturer	Action Attack	Requires: Curse		
63	en	Trading Post	Action			
64	en	Tribute	Action			
65	en	Upgrade	Action			
66	en	Harem	Treasure Victory			
67	en	Nobles	Action Victory			
68	en	Loan	Treasure			
69	en	Trade Route	Action	Requires: Coin Token, Trade Mat		
70	en	Watchtower	Action Reaction			
71	en	Bishop	Action	Requires: Victory Token		
72	en	Monument	Action	Requires: Victory Token		
73	en	Quarry	Treasure			
74	en	Talisman	Treasure			
75	en	Worker's Village	Action			
76	en	City	Action			
77	en	Contraband	Treasure			
78	en	Counting House	Action			
79	en	Mint	Action			
80	en	Mountebank	Action Attack	Requires: Curse		
81	en	Rabble	Action Attack			
82	en	Royal Seal	Treasure			
83	en	Vault	Action			
84	en	Venture	Treasure			
85	en	Goons	Action Attack	Requires: Victory Token		
86	en	Grand Market	Action			
87	en	Hoard	Treasure			
88	en	Bank	Treasure			
89	en	Expand	Action			
90	en	Forge	Action			
91	en	King's Court	Action			
92	en	Peddler	Action			
93	en	Embargo	Action	Requires: Embargo Token, Curse		
94	en	Haven	Action Duration			
95	en	Lighthouse	Action Duration			
96	en	Native Village	Action	Requires: Native Village Mat		
97	en	Pearl Diver	Action			
98	en	Ambassador	Action Attack			
99	en	Fishing Village	Action Duration			
100	en	Lookout	Action			
101	en	Smugglers	Action			
102	en	Warehouse	Action			
103	en	Caravan	Action Duration			
104	en	Cutpurse	Action Attack			
105	en	Island	Action Victory	Requires: Island Mat		
106	en	Navigator	Action			
107	en	Pirate Ship	Action Attack	Requires: Coin Token, Pirate Mat		
108	en	Salvager	Action			
109	en	Sea Hag	Action Attack	Requires: Curse		
110	en	Treasure Map	Action			
111	en	Bazaar	Action			
112	en	Explorer	Action			
113	en	Ghost Ship	Action Attack			
114	en	Merchant Ship	Action Duration			
115	en	Outpost	Action Duration			
116	en	Tactician	Action Duration			
117	en	Treasury	Action			
118	en	Wharf	Action Duration			
119	en	Poor House	Action			
120	en	Beggar	Action Reaction			
121	en	Squire	Action			
122	en	Vagrant	Action			
123	en	Forager	Action			
124	en	Hermit	Action	Requires: Madman		
125	en	Market Square	Action Reaction			
126	en	Sage	Action			
127	en	Storeroom	Action			
128	en	Urchin	Action Attack	Requires: Mercenary		
129	en	Armory	Action			
130	en	Death Cart	Action Attack	Requires: Ruins		
131	en	Feodum	Victory			
132	en	Fortress	Action			
133	en	Ironmonger	Action Attack			
134	en	Marauder	Action Attack Looter	Requires: Spoils, Ruins		
135	en	Procession	Action			
136	en	Rats	Action			
137	en	Scavenger	Action			
138	en	Wandering Minstrel	Action			
139	en	Band of Misfits	Action			
140	en	Bandit Camp	Action	Requires: Spoils		
141	en	Catacombs	Action			
142	en	Count	Action			
143	en	Counterfeit	Treasure			
144	en	Cultist	Action Attack Looter	Requires: Ruins		
145	en	Graverobber	Action			
146	en	Junk Dealer	Action			
147	en	Knights	Action Attack Knight			
148	en	Mystic	Action			
149	en	Pillage	Action Attack	Requires: Spoils		
150	en	Rebuild	Action			
151	en	Rogue	Action			
152	en	Altar	Action			
153	en	Hunting Grounds	Action			
154	en	Hamlet	Action			
155	en	Fortune Teller	Action Attack			
156	en	Menagerie	Action			
157	en	Farming Village	Action			
158	en	Horse Traders	Action Reaction			
159	en	Remake	Action			
160	en	Tournament	Action	Requires: Prizes, Curse		
161	en	Young Witch	Action Attack	Requires: Curse		
162	en	Harvest	Action			
163	en	Horn of Plenty	Treasure			
164	en	Hunting Party	Action			
165	en	Jester	Action Attack	Requires: Curse		
166	en	Fairgrounds	Victory			
167	en	Candlestick Maker	Action	Requires: Coin Token		
168	en	Stonemason	Action		Overpay Functionality	
169	en	Doctor	Action		Overpay Functionality	
170	en	Masterpiece	Treasure		Overpay Functionality	
171	en	Advisor	Action			
172	en	Plaza	Action	Requires: Coin Token		
173	en	Taxman	Action Attack			
174	en	Herald	Action		Overpay Functionality	
175	en	Baker	Action	Requires: Coin Token		
176	en	Butcher	Action	Requires: Coin Token		
177	en	Journeyman	Action			
178	en	Merchant Guild	Action	Requires: Coin Token		
179	en	Soothsayer	Action Attack	Requires: Curse		
180	en	Crossroads	Action			
181	en	Duchess	Action			
182	en	Fool's Gold	Treasure Reaction			
183	en	Develop	Action			
184	en	Oasis	Action			
185	en	Oracle	Action Attack			
186	en	Scheme	Action			
187	en	Tunnel	Victory Reaction			
188	en	Jack of all Trades	Action			
189	en	Noble Brigand	Action Attack			
190	en	Nomad Camp	Action			
191	en	Silk Road	Victory			
192	en	Spice Merchant	Action			
193	en	Trader	Action Reaction			
194	en	Cache	Treasure			
195	en	Cartographer	Action			
196	en	Embassy	Action			
197	en	Haggler	Action			
198	en	Highway	Action			
199	en	Ill-Gotten Gains	Treasure	Requires: Curse		
200	en	Inn	Action			
201	en	Mandarin	Action			
202	en	Margrave	Action Attack			
203	en	Stables	Action			
204	en	Border Village	Action			
205	en	Farmland	Victory			
206	en	Prince	Action		You may set this aside. If you do, set aside an Action card from your hand costing up to <c>4</c>. At the start of each of your turns, play that Action, setting it aside again when you discard it from play. (Stop playing it if you fail to set it aside on a turn you play it.)	
207	en	Coin of the Realm	Treasure Reserve			
208	en	Page	Action Traveller	Requires: Upgrades		
209	en	Peasant	Action Traveller	Requires: Upgrades, All +1 Tokens		
210	en	Ratcatcher	Action Reserve			
211	en	Raze	Action			
212	en	Amulet	Action Duration		Choose one of three options	
213	en	Caravan Guard	Action Duration Reaction			
214	en	Dungeon	Action Duration			
215	en	Gear	Action Duration			
216	en	Guide	Action Reserve			
217	en	Duplicate	Action Reserve			
218	en	Magpie	Action			
219	en	Messenger	Action			
220	en	Miser	Action			
221	en	Port	Action			
222	en	Ranger	Action	Requires: Journey Token		
223	en	Transmogrify	Action Reserve			
224	en	Artificer	Action			
225	en	Bridge Troll	Action Attack Duration	Requires: -1 Coin Token		
226	en	Distant Lands	Action Reserve Victory			
227	en	Giant	Action Attack	Requires: Journey Token, Curse		
228	en	Haunted Woods	Action Attack Duration			
229	en	Lost City	Action			
230	en	Relic	Treasure Attack	Requires: -1 Coin Token		
231	en	Royal Carriage	Action Reserve			
232	en	Storyteller	Action			
233	en	Swamp Hag	Action Attack Duration	Requires: Curse		
234	en	Treasure Trove	Treasure			
235	en	Wine Merchant	Action Reserve			
236	en	Hireling	Action Duration		This stays in play	
237	en	Alms	Event			
238	en	Borrow	Event	Requires: -1 Card Token		
239	en	Quest	Event		Discard for gold	
240	en	Save	Event			
241	en	Scouting Party	Event			
242	en	Travelling Fair	Event			
243	en	Bonfire	Event		Trash up to 2 cards in play.	
244	en	Expedition	Event		Draw 2 extra cards next round.	
245	en	Ferry	Event	Requires: -2 Cost Token		
246	en	Plan	Event	Requires: Trash Token		
247	en	Mission	Event			
248	en	Pilgrimage	Event	Requires: Journey Token		
249	en	Ball	Event	Requires: -1 Coin Token		
250	en	Raid	Event	Requires: -1 Coin Token		
251	en	Seaway	Event	Requires: +1 Buy Token		
252	en	Trade	Event		Trash for silver	
253	en	Lost Arts	Event	Requires: +1 Action Token		
254	en	Training	Event	Requires: +1 Coin Token		
255	en	Inheritance	Event	Requires: Estate Token		
256	en	Pathfinding	Event	Requires: +1 Card Token		
257	en	Summon	Event		Gain an Action card costing up to <c>4</c>. Set it aside. If you do, then at the start of your next turn, play it.	
