_id	language	name	type	requires	text	rules
1	fr	Marché Noir	Action		<b>+<c>2</c><br/><br/>Dévoilez les 3 premières cartes du Deck Marché noir. Vous pouvez immédiatement acheter une de ces cartes. Placez les cartes non achetées dans l'ordre de votre choix sous le deck Marché noir.<br/><br/> (Avant la partie, constituez un deck Marché noir avec un exemplaire de la carte Royaume qui n'est pas dans la réserve.)	
2	fr	Cachette	Trésor		<big><c>2</c></big><hr/>Lorsque vous mélangez, vous pouvez placer cette carte où vous voulez dans votre deck.	
3	fr	Délégué	Action		Dévoilez les 5 premières cartes de votre deck. Le joueur à votre gauche choisit une de ces cartes que vous devez défausser. Piochez les autres cartes,	
4	fr	Ville fortifiée	Action		<b>+1 Carte<br/>+2 Actions</b><hr/>Au début de la phase Ajustement, si vous avez cette carte et pas plus d'une autre carte <i>Action</i> devant vous, vous pouvez poser cette carte sur le dessus de votre deck.	
5	fr	Gouverneur	Action		<b>+1 Action</b><br/><br/>Choisissez entre ces trois options (vous obtenez la valeur entre parenthèses) : chaque joueur reçoit +1 (+3) Cartes ; Chaque joueur reçoit un <i>Argent</i> (<i>Or</i>) ; ou chaque joueur peut écarter une carte de sa main et recevoir une carte coûtant exactement <c>1</c> (<c>2</c>) de plus.	
6	fr	Cave	Action		<b>+1 Action</b><br/><br/>Défaussez autant de cartes que vous voulez.<br/><b>+1 Carte</b> par carte défaussée. 	
7	fr	Chapelle	Action		Écartez jusqu'à 4 cartes de votre main.	
8	fr	Douves	Action Reaction		<b>+2 Cartes</b><hr/>Lorsqu'un adversaire joue une carte <i>Attaque</i>, vous pouvez dévoiler cette carte de votre main. Dans ce cas, l'Attaque n'a pas d'effet sur vous.	
9	fr	Chancelier	Action		<b>+<c>2</c></b><br/><br/>Vous pouvez immédiatement défausser votre deck.	
10	fr	Village	Action		<b>+1 Carte<br/>+2 Actions</b>	
11	fr	Bucheron	Action		<b>+1 Achat<br/>+<c>2</c></b>	
12	fr	Atelier	Action		Recevez une carte coûtant jusqu'à <c>4</c>.	
13	fr	Bureaucrate	Action Attaque		Recevez 1 carte <i>Argent</i>;<br/>placez-la sur votre deck.<br/>Tous vos adversaires dévoilent 1 carte <i>Victoire</i> et la placent sur leur deck (sinon ils dévoilent leur main afin que vous puissiez voir qu'ils n'ont pas de cartes <i>Victoire</i>).	
14	fr	Festin	Action		Écartez cette carte.<br/>Recevez une carte coûtant jusqu'à <c>5</c>.	
15	fr	Jardins	Victoire		Vaut <vp>1</vp> pour chaque 10 cartes dans votre deck (arrondi à l'unité inférieure).	
16	fr	Milice	Action Attaque		<b>+<c>2</c></b><br/><br/>Tous vos adversaires défaussent leurs cartes de façon à n'avoir que 3 cartes en main.	
17	fr	Preteur sur gages	Action		Écartez une carte <i>Cuivre</i> de votre main et recevez +<c>3</c>.	
18	fr	Rénovation	Action		Écartez une carte de votre main.<br/>Recevez une carte coûtant jusqu'à <c>2</c> de plus que la carte écartée.	
19	fr	Forgeron	Action		<b>+3 Cartes</b>	
20	fr	Espion	Action Attaque		<b>+1 Carte<br/>+1 Action</b><br/><br/>Tous les joueurs(vous aussi)dévoilent la première carte de leur deck. Vous décidez ensuite si chaque carte dévoilée est défaussée ou replacée sur son deck.	
21	fr	Voleur	Action Attaque		Tous vos adversaires dévoilent les 2 premières cartes de leur deck.<br/>S'ils dévoilent des cartes <i><i>Trésor</i></i>, ils en écartent 1 de votre choix. Parmi ces cartes <i><i>Trésor</i></i> écartées, recevez celles de votre choix. Les autres cartes dévoilées sont défaussées.	
22	fr	Salle du Trone	Action		Choisissez 1 carte <i>Action</i> de votre main.<br/>Jouez-la deux fois.	
23	fr	Chambre du conseil	Action		<b>+4 Cartes<br/>+1 Achat</b><br/><br/>Tous vos adversaires piochent 1 carte.	
24	fr	Festival	Action		<b>+2 Actions<br/>+1 Achat<br/>+<c>2</c></b>	
25	fr	Laboratoire	Action		<b>+2 Cartes<br/>+1 Action</b>	
26	fr	Bibliotheque	Action		Piochez jusqu'à ce que vous ayez 7 cartes en main. Chaque Action piochée peut être mise de côté.<br/>Défaussez les cartes mises de côté lorsque vous avez terminé de piocher.	
27	fr	Marché	Action		<b>+1 Carte<br/>+1 Action<br/>+1 Achat<br/>+<c>1</c></b>	
28	fr	Mine	Action		Écartez une carte <i><i>Trésor</i></i> de votre main. <br/> Recevez une carte <i><i>Trésor</i></i> coûtant jusqu'à <c>3</c> de plus;<br/>ajoutez cette carte à votre main.	
29	fr	Sorciere	Action Attaque	Nécessite: Malédiction	<b>+2 Cartes</b><br/><br/>Tous vos adversaires recoivent une carte <i>Malédiction</i>.	
30	fr	Aventurier	Action		Dévoilez des cartes de votre deck jusqu'à ce que 2 cartes <i>Trésor</i> soient dévoilées. Ajoutez ces cartes <i>Trésor</i> à votre Main et défaussez les autres cartes dévoilées.	
31	fr	Herboriste	Action		<b>+1 Achat<br/>+<c>1</c></b><hr/>Lorsque vous défaussez cette carte de votre zone de jeu, vous pouvez placer sur le dessus de votre deck une de vos cartes <i>Trésor</i> qui est en jeu.	
