_id	language	name	type	requires	text	rules
1	jp	闇市場 	Action			
2	jp	へそくり 	Treasure			
3	jp	公使 	Action			
4	jp	囲郭村 	Action			
5	jp	総督 	Action			
6	jp	地下貯蔵庫 	Action			
7	jp	礼拝堂 	Action			
8	jp	堀 	Action Reaction			
9	jp	宰相 	Action			
10	jp	村 	Action			
11	jp	木こり 	Action			
12	jp	工房 	Action			
13	jp	役人 	Action Attack			
14	jp	祝宴 	Action			
15	jp	庭園 	Victory			
16	jp	民兵 	Action Attack			
17	jp	金貸し 	Action			
18	jp	改築 	Action			
19	jp	鍛冶屋 	Action			
20	jp	密偵 	Action Attack			
21	jp	泥棒 	Action Attack			
22	jp	玉座の間 	Action			
23	jp	議事堂 	Action			
24	jp	祝祭 	Action			
25	jp	研究所 	Action			
26	jp	書庫 	Action			
27	jp	市場 	Action			
28	jp	鉱山 	Action			
29	jp	魔女 	Action Attack			
30	jp	冒険者 	Action			
31	jp	薬草商 	Action			
32	jp	弟子 	Action			
33	jp	変成 	Action			
34	jp	ブドウ園 	Victory			
35	jp	薬師 	Action			
36	jp	念視の泉 	Action Attack			
37	jp	大学 	Action			
38	jp	錬金術師 	Action			
39	jp	使い魔 	Action Attack			
40	jp	賢者の石 	Treasure			
41	jp	ゴーレム 	Action			
42	jp	支配 	Action			
43	jp	中庭 	Action			
44	jp	手先 	Action			
45	jp	秘密の部屋 	Action Reaction			
46	jp	大広間 	Action Victory			
47	jp	仮面舞踏会 	Action			
48	jp	貧民街 	Action			
49	jp	執事 	Action			
50	jp	詐欺師 	Action Attack			
51	jp	願いの井戸 	Action			
52	jp	男爵 	Action			
53	jp	橋 	Action			
54	jp	共謀者 	Action			
55	jp	銅細工師 	Action			
56	jp	鉄工所 	Action			
57	jp	鉱山の村 	Action			
58	jp	偵察員 	Action			
59	jp	公爵 	Victory			
60	jp	寵臣 	Action Attack			
61	jp	破壊工作員 	Action Attack			
62	jp	拷問人 	Action Attack			
63	jp	交易所 	Action			
64	jp	貢物 	Action			
65	jp	改良 	Action			
66	jp	ハーレム 	Treasure Victory			
67	jp	貴族 	Action Victory			
68	jp	借金 	Treasure			
69	jp	交易路 	Action			
70	jp	望楼 	Action Reaction			
71	jp	司教 	Action			
72	jp	記念碑 	Action			
73	jp	石切場 	Treasure			
74	jp	護符 	Treasure			
75	jp	労働者の村 	Action			
76	jp	都市 	Action			
77	jp	禁制品 	Treasure			
78	jp	会計所 	Action			
79	jp	造幣所 	Action			
80	jp	香具師 	Action Attack			
81	jp	大衆 	Action Attack			
82	jp	玉璽 	Treasure			
83	jp	保管庫 	Action			
84	jp	投機 	Treasure			
85	jp	ならず者 	Action Attack			
86	jp	大市場 	Action			
87	jp	隠し財産 	Treasure			
88	jp	銀行 	Treasure			
89	jp	拡張 	Action			
90	jp	鍛造 	Action			
91	jp	宮廷 	Action			
92	jp	行商人 	Action			
93	jp	抑留 	Action			
94	jp	停泊所 	Action Duration			
95	jp	灯台 	Action Duration			
96	jp	原住民の村 	Action			
97	jp	真珠採り 	Action			
98	jp	大使 	Action Attack			
99	jp	漁村 	Action Duration			
100	jp	見張り 	Action			
101	jp	密輸人 	Action			
102	jp	倉庫 	Action			
103	jp	隊商 	Action Duration			
104	jp	巾着切り 	Action Attack			
105	jp	島 	Action Victory			
106	jp	航海士 	Action			
107	jp	海賊船 	Action Attack			
108	jp	引揚水夫 	Action			
109	jp	海の妖婆 	Action Attack			
110	jp	宝の地図 	Action			
111	jp	バザー 	Action			
112	jp	探検家 	Action			
113	jp	幽霊船 	Action Attack			
114	jp	商船 	Action Duration			
115	jp	前哨地 	Action Duration			
116	jp	策士 	Action Duration			
117	jp	宝物庫 	Action			
118	jp	船着場 	Action Duration			
119	jp	빈민구제소 	Action			
120	jp	거지 	Action Reaction			
121	jp	종자 	Action			
122	jp	부랑자 	Action			
123	jp	식량 약탈자 	Action			
124	jp	은둔자 	Action			
125	jp	시장 광장 	Action Reaction			
126	jp	현자 	Action			
127	jp	저장실 	Action			
128	jp	양아치 	Action Attack			
129	jp	무기고 	Action			
130	jp	시체운반수레 	Action Attack			
131	jp	봉토 	Victory			
