_id	language	name	type	requires	text	rules
2	nl	Geldbuidel	Geld		Als je je aflegstapel schudt om er een nieuwe trekstapel van te maken, mag je direct daarna de Geldbuidel naar een positie naar keuze in je trekstapel verplaatsen.	
3	nl	Gezant	Actie		Toon de bovenste 5 kaarten van je deck. De speler links van je kiest een kaart, die je moet afleggen. Neem de rest in je hand.	
6	nl	Kelder	Actie			
7	nl	Kapel	Actie			
8	nl	Slotgracht	Actie Reactie			
9	nl	Raadsheer	Actie			
10	nl	Dorp	Actie			
11	nl	Houthakker	Actie			
12	nl	Werkplaats	Actie			
13	nl	Bureaucraat	Actie Aanval		Leg uit de algemene voorraad een zilverkaart op je trekstapel. <br />Iedere andere speler legt een overwinningskaart uit zijn hand op zijn trekstapel. (of laat zien dat hij deze niet heeft)	
14	nl	Feest	Actie			
15	nl	Tuinen	Overwinning			
16	nl	Militie	Actie Aanval			
17	nl	Geldschieter	Actie			
18	nl	Verbouwing	Actie			
19	nl	Smidse	Actie			
20	nl	Spion	Actie Aanval			
21	nl	Dief	Actie Aanval			
22	nl	Troonzaal	Actie			
23	nl	Raadszaal	Actie			
24	nl	Festival	Actie			
25	nl	Laboratorium	Actie			
26	nl	Bibliotheek	Actie		Vul je hand aan tot 7 kaarten.<br />Getrokken actiekaarten mag je houden of apart bewaren en vervangen door nieuwe kaarten.<br />Als je hand is aangevuld leg je de apart bewaarde actiekaarten af.	
27	nl	Markt	Actie			
28	nl	Mijn	Actie			
29	nl	Heks	Actie Aanval	Benodigd: Vloek		
30	nl	Avonturier	Actie		Draai achtereenvolgens de bovenste kaarten van je trekstapel om totdat je in totaal 2 geldkaarten hebt. Neem ze op handen. Leg de overige omgedraaide kaarten op je aflegstapel.	
31	nl	Kruidenexpert	Actie			
32	nl	Leerling	Actie			
33	nl	Transformatie	Actie			
34	nl	Wijnberg	Overwinning			
35	nl	Apotheker	Actie		<b>+1 Kaart<br />+1 Actie</b><br /><br />Toon de bovenste 4 kaarten van je trekstapel. Neem koperkaarten en toverdranken in je hand. Leg de resterende getoonde kaarten naar believen gedekt terug op je trekstapel.	
36	nl	Visioen	Actie Aanval			
37	nl	Universiteit	Actie			
38	nl	Alchemist	Actie		<b>+2 Kaarten<br />+1 Actie</b><hr />Als je aan het begin van de opschoonfase deze kaart en ten minste één toverdrank in het spel hebt, mag je deze kaart gedekt op je trekstapel leggen.	
39	nl	Oude Bekende	Actie Aanval	Benodigd: Vloek		
40	nl	Steen Der Wijzen	Geld			
41	nl	Golem	Actie			
42	nl	Bezeten	Actie		De speler links van je voert direct nadat jij je beurt hebt beëindigd, een extra beurt uit. Daarbij mag jij alle kaarten zien die hij ook ziet, en maak jij alle beslissingen voor hem. Alle kaarten die hij pakt of koopt, leg je op jouw aflegstapel. Alle kaarten die hij vernietigt, legt hij opzij en legt hij aan het einde van de beurt op zijn aflegstapel. 	
43	nl	Binnenplaats	Actie		<b>+3 Kaarten</b><br /><br />Leg een kaart naar keuze uit je hand gedekt op je trekstapel.	
44	nl	Pion	Actie			
45	nl	Geheime Kamer	Actie Reactie			
46	nl	Grote Zaal	Actie Overwinning			
47	nl	Maskerade	Actie			
48	nl	Sloppenwijk	Actie			
49	nl	Lakei	Actie			
50	nl	Oplichter	Actie Aanval			
51	nl	Wensput	Actie			
52	nl	Baron	Actie		<b>+1 Aanschaf</b><br /><br />Je mag een landgoedkaart afleggen. <br />Als je dat doet: +<c>4</c>.<br />Zo niet, pak een landgoedkaart.	
