_id	language	name	type	requires	text	rules
1	pl	Czarny rynek 	Akcja		<b>+<c>2</c></b><br/>Odkryj trzy karty z wierzchu talii Czarnego rynku. Możesz natychmiast kupić jedną z nich. Pozostałe odłóż w dowolnej kolejności na spód talii Czarnego rynku.<br/><br/><i>(Przed rozpoczęciem gry należy stworzyć talię Czarnego rynku wykorzystując po jednej karcie Królestwa każdego rodzaju, który nie znalazł się w Zasobach).</i>	Czarny rynek pozwala graczowi kupić kartę w fazie akcji. Gracz może użyć monet wyprodukowanych przez inne, zagrane wcześniej w tej turze, karty Akcji. Może również zagrać karty Skarbu z ręki. Karty Skarbu zagrywa się normalnie, jak w fazie zakupu. Można zagrać więcej kart Skarbu niż wymaga tego koszt zakupu karty; niewykorzystane monety z zagranych kart Akcji i Skarbu będą dostępne w fazie zakupu. Gracz może nawet zagrać karty Skarbu i nie kupić karty z Czarnego rynku. Gracz nie może ponownie użyć monet zużytych na zakup karty w tej turze. Karta kupiona w fazie akcji nie liczy się do dostępnych zakupów, więc gracz nie musi zagrywać karty dającej dodatkowy zakup aby normalnie nabyć kartę w fazie zakupu w tej turze. Jeśli gracz zagra Czarny rynek, a talia Czarnego rynku jest pusta, to i tak otrzymuje +<c>2</c>. Jeśli gracz zagra Czarny rynek i nie kupi karty z talii Czarnego rynku, to i tak otrzymuje +<c>2</c>.
2	pl	Zaskórniak 	Skarb		<big> <c>2</c> </big><hr/>Kiedy tasujesz karty, możesz umieścić tę kartę w dowolnym miejscu swojej talii.	Zaskórniak jest kartą Skarbu, która po zagraniu produkuje <c>2</c>, podobnie jak Srebrniki. Kiedy gracz tasuje swój stos kart odrzuconych i tworzy z niego nową talię, może zdecydować, gdzie w tej talii umieści swoje Zaskórniaki. Nie można podglądać awersów innych kart podczas przemieszczania Zaskórniaków w talii; Zaskórniak posiada inny rewers, będzie zatem od razu wiadomo która karta to Zaskórniak. Jeśli gracz posiada kilka kopii Zaskórniaka, może je umieścić w talii jeden obok drugiego lub każdy w innym miejscu. Inny rewers Zaskórniaka pozwala również określić, czy któryś z graczy ma go na ręce, czy odłożył go na bok w wyniku działania jakiejś karty, itp.
3	pl	Poseł 	Akcja		Odkryj 5 kart z wierzchu swojej talii. Gracz po twojej lewej stronie wskazuje jedną z nich, którą musisz odrzucić. Weź na rękę pozostałe karty.	Jeśli gracz nie ma 5 kart w talii, odkrywa tyle ile ma, a następnie tasuje swój stos kart odrzuconych i odkrywa resztę. Następnie gracz po jego lewej stronie wybiera jedną z odkrytych kart, którą aktywny gracz odrzuca. Pozostałe odkryte karty aktywny gracz bierze na rękę. Jeśli gracz nie jest w stanie odkryć 5 kart nawet pomimo tasowania, to odkrywa tyle ile ma, a gracz po jego lewej stronie wciąż wskazuje jedną kartę do odrzucenia.
4	pl	Kasztel 	Akcja		<b>+1 karta<br/>+1 akcja</b><hr/>Jeśli na początku fazy porządków masz tę kartę i nie więcej niż jedną inną kartę Akcji w grze, możesz położyć tę kartę na wierzch swojej talii.	Kiedy gracz zagrywa tę kartę, dobiera kartę i może zagrać 2 kolejne akcje w tej turze. Jeśli na początku swojej fazy porządków, zanim odrzuci jakąkolwiek kartę i zanim dobierze karty do następnej tury, gracz ma w polu gry Kasztel i nie więcej niż dwie karty Akcji (włączając ten Kasztel), może odłożyć Kasztel na wierzch swojej talii. Jeśli jedyne karty Akcji w grze to dwa Kasztele, gracz może odłożyć na wierzch swojej talii oba, lub tylko jeden z nich. Aby można było odłożyć Kasztel na wierzch talii w fazie porządków, ten Kasztel musi się znajdować w grze. Dla potrzeb Kasztelu liczbę kart Akcji w grze sprawdza się w momencie, gdy ma nastąpić wykonanie jego specjalnej właściwości; karty Akcji zagrane wcześniej w tej turze, a które już się w grze nie znajdują (np. Uczta z Dominion) nie liczą się, natomiast liczą się karty Akcji znajdujące się w grze od poprzedniej tury (karty Następstwa z Dominion: Przystań), podobnie jak karty Akcji, które w tym momencie są w grze ale mogą w niej nie być już po wykonaniu specjalnej właściwości Kasztelu (np. Skarbiec z Dominion: Przystań).
5	pl	Gubernator 	Akcja		<b>+1 akcja</b><br/>Wybierz jedną z opcji (otrzymujesz wersję w nawiasie): każdy z graczy dobiera +1 (+3) kartę; lub każdy z graczy dodaje kartę Srebrników (Złoto); lub każdy z graczy może wyrzucić na śmietnisko kartę z ręki i dodać kartę o koszcie wyższym dokładnie o <c>1</c> (<c>2</c>).	Gracz zawsze otrzymuje +1 akcję. Następnie albo dobiera trzy karty a pozostali gracze dobierają po jednej karcie, albo dodaje Złoto a pozostali gracze dodają po karcie Srebrników, albo może wyrzucić na śmietnisko kartę z ręki i dodać kartę o koszcie większym dokładnie o <c>2</c> a pozostali gracze mogą wyrzucić na śmietnisko kartę z ręki i dodać kartę koszcie większym dokładnie o <c>1</c>. Wykonywanie tych czynności powinno odbywać się w kolejności rozgrywki, poczynając od aktywnego gracza – może to mieć znaczenie, gdy odpowiednie stosy w Zasobach są na wyczerpaniu. Karty dodaje się z Zasobów i umieszcza na stosie kart odrzuconych; jeśli w Zasobach zabraknie odpowiednich kart, to się ich nie dodaje. Na przykład, jeśli gracz wybierze drugą opcję a w Zasobach jest tylko jedna karta Srebrników, to doda ją tylko gracz po jego lewej stronie, a pozostali gracze nie. Po wybraniu trzeciej opcji gracz dodaje kartę tylko wtedy, gdy wyrzuci kartę na śmietnisko, i tylko wtedy, gdy w Zasobach znajduje się karta o wymaganym koszcie. Jeśli gracz wyrzuci kartę na śmietnisko, to musi dodać kartę jeśli się da to zrobić. W wyniku zagrania Gubernatora gracz nie może wyrzucić jego samego na śmietnisko, ponieważ po zagraniu nie znajduje się na ręce (lecz może wyrzucić z ręki inną kopię Gubernatora).
6	pl	Piwnica 	Akcja		<b>+1 akcja</b><br/>Odrzuć dowolną liczbę kart. +1 karta za każdą odrzuconą kartę.	Nie można odrzucić Piwnicy do niej samej, ponieważ nie jest ona już na ręce gracza w momencie rozpatrywania. Gracz wybiera karty, które chce odrzucić i odrzuca wszystkie naraz. Karty wolno dobrać dopiero po odrzuceniu. Jeżeli w celu dobrania gracz musi przetasować talię, odrzucone karty zostaną wtasowane w nową talię.
7	pl	Kaplica 	Akcja		Wyrzuć na śmietnisko maksymalnie 4 karty z ręki.	Nie można wyrzucić samej Kaplicy, ponieważ nie jest już na ręce gracza w momencie rozpatrywania. Gracz mógłby natomiast wyrzucić inną kartę Kaplicy, jeżeli miałby ją na ręce.
8	pl	Fosa 	Akcja Reakcja		<b>+2 karty</b><hr/>Kiedy inny gracz zagrywa kartę Ataku, możesz odkryć tę kartę z ręki. Jeśli to zrobisz, to atak cię ominie.	Karty Ataku mają etykietę „Atak” na dole karty (zazwyczaj „Akcja – Atak”). Kiedy inny gracz zagrywa kartę Ataku, można odkryć kartę Fosy z ręki (przed rozpatrzeniem efektu ataku), a następnie wziąć ją z powrotem na rękę. W ten sposób gracz unika efektów tej karty Ataku. Nie będzie musiał dobrać Klątwy przez Wiedźmę lub odkryć karty dla Szpiega, itp. Dzięki Fosie gracz jest odporny na efekty karty Ataku. Fosa nie anuluje efektu ataku dla innych graczy lub gracza zagrywającego atak. <b>Na przykład:</b> <i>jeżeli wszyscy pozostali gracze odkryją Fosę w momencie zagrania Wiedźmy, gracz zagrywający nadal może dobrać 2 karty. Fosa może być również zagrana w turze gracza, aby dobrać 2 karty.</i>
9	pl	Kanclerz 	Akcja		<b>+<c>2</c></b><br/>Możesz natychmiast umieścić swoją talię na swoim stosie odrzuconych kart.	Gracz musi rozpatrzyć Kanclerza (zadecydować czy odrzucić, czy też nie, swoją talię na stos kart odrzuconych) zanim przejdzie do kolejnych czynności w turze – jak na przykład podjąć decyzję o zakupach czy zagraniu kolejnej akcji. Gracz nie może przeglądać swojej talii, kiedy ją odrzuca.
10	pl	Wioska 	Akcja		<b>+1 karta<br/>+2 akcje</b>	Jeżeli gracz zagrywa kilka Wiosek, powinien dokładnie liczyć liczbę akcji. Akcje należy liczyć na głos, to zawsze pomaga.
11	pl	Drwal 	Akcja		<b>+1 zakup<br/>+<c>2</c></b>	W fazie zakupu gracz dodaje <c>2</c> do całkowitej wartości zagranych kart Skarbu oraz może kupić dodatkową kartę z Zasobów.
12	pl	Warsztat 	Akcja		Dodaj kartę kosztującą nie więcej niż <c>4</c>.	Dobrana karta jest umieszczana na stosie kart odrzuconych. Musi to być karta z Zasobów. Gracz nie może używać kart Skarbu, ani monet z poprzednich akcji (jak na przykład z Targowiska), aby zwiększyć wartość dobranej karty.
13	pl	Urzędnik 	Akcja Atak		Dodaj kartę Srebrników - połóż ją na wierzchu swojej talii. Każdy z pozostałych graczy odkrywa kartę Zwycięstwa z ręki i kładzie ją na wierzchu swojej talii (lub odkrywa rękę bez kart Zwycięstwa).	Jeżeli gracz nie ma kart w talii, gdy zagrywa tę kartę, dobrana karta Srebrników staje się jedyną kartą w talii. Analogicznie: jeżeli inny gracz nie ma kart w talii, karta Zwycięstwa, którą umieszcza na wierzchu, będzie jedyną kartą w jego talii.
14	pl	Uczta 	Akcja		Wyrzuć tę kartę na śmietnisko. Dodaj kartę kosztującą nie więcej niż <c>5</c>.	Wzięta karta trafia na stos kart odrzuconych. Musi to być karta z Zasobów. Gracz nie może używać kart Skarbu, ani monet z poprzednich akcji (jak na przykład z Targowiska), aby zwiększyć wartość dobranej karty. Jeżeli gracz użyje Sali tronowej na Uczcie, dobierze dwie karty, mimo że Ucztę może wyrzucić tylko raz. Dodanie karty nie jest zależne od wyrzucenia Uczty. Są to po prostu dwa odrębne efekty, które należy rozpatrzyć.
15	pl	Ogrody 	Zwycięstwo		Ta karta jest warta <vp>1</vp> za każde 10 kart w twojej talii (zaokrąglając w dół).	Ta karta Królestwa jest kartą Zwycięstwa, a nie kartą Akcji. Nie robi nic do końca gry, kiedy będzie warta 1 punkt za każde 10 kart w talii gracza (wliczając wszystkie karty gracza – stos kart odrzuconych i ręka w tym momencie również są częścią talii). Zaokrąglać należy w dół (jeżeli gracz ma 39 kart, Ogrody są warte 3 punkty zwycięstwa). W trakcie przygotowania do gry liczbę użytych Ogrodów określa się tak, jak liczbę kart Zwycięstwa (12 w rozgrywce 3 i 4-osobowej, 8 w grze 2-osobowej).
16	pl	Milicja 	Akcja Atak		<b>+<c>2</c></b><br/>Każdy z pozostałych graczy odrzuca karty, aż będzie miał ich 3 na ręce.	Zaatakowani gracze odrzucają karty, dopóki nie zostanie im tylko po 3 na ręce. Gracze, którzy mają 3 lub mniej kart na ręce w momencie zagrania Milicji, nie odrzucają kart.
17	pl	Lichwiarz 	Akcja		Wyrzuć z ręki na śmietnisko kartę Miedziaka, aby otrzymać +<c>3</c>.	Jeżeli gracz nie ma na ręce Miedziaka, którego mógłby wyrzucić, nie dostaje dodatkowych <c>3</c> do wydania w fazie zakupu.
18	pl	Przebudowa 	Akcja		Wyrzuć na śmietnisko dowolną kartę z ręki. Dodaj kartę o koszcie większym maksymalnie o <c>2</c> od kosztu wyrzuconej karty.	Gracz nie może wyrzucić Przebudowy, ponieważ nie jest ona na jego ręce w momencie rozpatrywania (może natomiast wyrzucić inną kartę Przebudowy, którą ma na ręce). Jeżeli gracz nie ma karty do wyrzucenia, nie może wziąć karty z Przebudowy. Wzięta karta trafia na stos kart odrzuconych. Gracz może wziąć karty wyłącznie z Zasobów. Wzięta karta nie musi kosztować dokładnie <c>2</c> więcej niż wyrzucona karta – może kosztować tyle samo lub mniej. Gracz nie może używać kart Skarbu, ani monet z poprzednich akcji (jak na przykład z Targowiska), aby zwiększyć wartość dobieranej karty. Gracz może wyrzucić kartę, aby wziąć inną kopię tej samej karty.
19	pl	Kuźnia 	Akcja		<b>+3 karty</b>	Gracz dobiera trzy karty.
20	pl	Szpieg 	Akcja Atak		<b>+1 karta<br/>+1 akcja</b><br/>Każdy gracz (włączając ciebie) odkrywa wierzchnią kartę ze swojej talii. Następnie decydujesz, czy ma ją odłożyć z powrotem na wierzch talii, czy odrzucić.	Ta karta sprawia, że wszyscy gracze, włącznie z zagrywającym, muszą odkryć górną kartę swojej talii. Należy zauważyć, że zagrywający gracz dobiera kartę po zagraniu Szpiega, zanim jakiekolwiek karty zostaną odkryte. Gracze, którzy nie mają kart w talii, przetasowują ją, aby mieć kartę do odkrycia. Jeżeli gracz nie ma kart po przetasowaniu, nie odkrywa karty. Jeżeli kolejność ma znaczenie, najpierw odkrywa gracz zagrywający, a po nim gracze w kolejności rozgrywania tur. Odkryte karty, które nie są odrzucane, wracają na wierzch talii graczy.
21	pl	Złodziej 	Akcja Atak		Każdy z pozostałych graczy odkrywa 2 wierzchnie karty ze swojej talii. Jeśli odkryje jakiekolwiek karty Skarbu, wybierasz jedną, którą musi wyrzucić na śmietnisko. Możesz dodać dowolną liczbę wyrzuconych w ten sposób kart. Wszystkie pozostałe karty należy odrzucić.	Jeżeli gracz ma jedną kartę, odkrywa ją, a następnie przetasowuje talię i odkrywa drugą kartę. Gracz bez kart przetasowuje talię, aby mieć karty do odkrycia. Jeżeli gracz nie ma dwóch kart do odkrycia po przetasowaniu, odkrywa tyle, ile może. Każdy z graczy wyrzuca maksymalnie jedną kartę Skarbu z odkrytych, wybraną przez zagrywającego, a następnie zagrywający może wziąć dowolną liczbę wyrzuconych kart. Wziąć można tylko karty Skarbu wyrzucone w tej akcji – nie karty wyrzucone wcześniej. Gracz może nie brać kart, wziąć wszystkie lub dowolną ich liczbę. Wzięte karty Skarbu są umieszczane na stosie kart odrzuconych zagrywającego. Pozostałe karty zostają na śmietnisku. Niewyrzucone karty gracze umieszczają na swoim stosie kart odrzuconych.
22	pl	Sala tronowa 	Akcja		Wybierz kartę Akcji z ręki. Zagraj ją dwukrotnie.	Gracz wybiera inną kartę Akcji z ręki, zagrywa ją, a następnie zagrywa ją ponownie. Drugie zagranie wybranej karty Akcji nie zużywa dodatkowych akcji gracza. Przed ponownym zagraniem należy rozpatrzyć wszystkie efekty pierwszego zagrania karty. Jeżeli gracz użyje Sali tronowej na innej Sali tronowej, zagrywa akcję dwukrotnie, a następnie zagrywa inną akcję dwukrotnie. Nie rozpatruje jednej akcji cztery razy. Użycie Sali tronowej na karcie dającej +1 akcję (na przykład na Targowisku) da graczowi dodatkowe 2 akcje. Tutaj należy być ostrożnym, ponieważ normalne zagranie Targowiska dwukrotnie dałoby na koniec tylko 1 dodatkową akcję. Pozostałe akcje należy liczyć na głos, aby się nie pogubić! Nie wolno zagrywać innych akcji pomiędzy podwójnym zagraniem akcji, na której użyto Sali tronowej, chyba że zagrana karta mówi inaczej (np. Sala tronowa jest taką kartą).
23	pl	Sala obrad 	Akcja		<b>+4 karty<br/>+1 zakup</b><br/>Każdy z pozostałych graczy dobiera kartę.	Pozostali gracze muszą dobrać kartę, czy tego chcą, czy nie. Jeżeli zaistnieje taka potrzeba należy przetasować karty.
24	pl	Festyn 	Akcja		<b>+2 akcje<br/>+1 zakup<br/>+<c>2</c></b>	Jeżeli gracz zagrywa kilka Festynów z rzędu, powinien uważnie liczyć dostępne akcje. Najlepszym rozwiązaniem jest liczenie dostępnych akcji na głos, ten sposób działa zawsze (na przykład mówiąc: „zagrywam Festyn i mam jeszcze dwie dostępne akcje. Zagrywam Targowisko i mam dwie dostępne akcje. Zagrywam kolejny Festyn i mam trzy dostępne akcje...” itp.).
25	pl	Laboratorium 	Akcja		<b>+2 karty<br/>+1 akcja</b>	Gracz dobiera dwie karty i może zagrać dodatkową akcję w fazie akcji.
26	pl	Biblioteka 	Akcja		Dobieraj karty, aż będziesz miał ich 7 na ręce. W miarę dobierania możesz odkładać na bok kolejne dobrane karty Akcji. Po zakończeniu dobierania odrzuć wszystkie odłożone karty.	Jeżeli w trakcie zagrywania karty gracz musi przetasować talię, powinien odłożyć na bok karty, które nie będą wtasowywane do talii. Zostaną one odrzucone, gdy gracz skończy dobierać karty. Jeżeli kart nie wystarczy nawet po przetasowaniu, gracz dobiera tylko tyle kart, ile może. Gracz nie musi odkładać na bok kart Akcji – ma natomiast taką możliwość. Jeżeli gracz ma 7 lub więcej kart na ręce po zagraniu Biblioteki, nie dobiera żadnej karty.
