language	set_id	set_name	release_date	promotional
de	0	Basisspiel	20081001	0
de	9	Die Intrige	20090701	0
de	12	Seaside	20091001	0
de	1	Alchemisten	20100501	0
de	11	Blütezeit	20101001	0
de	8	Hinterland	20111001	0
de	4	Dark Ages	20120801	0
de	7	Die Gilden	20131001	0
de	3	Reiche Ernte	20140301	0
de	15	Abenteuer	20150401	0
de	5	Gesandter	20090101	1
de	2	Schwarzmarkt	20090201	1
de	13	Geldversteck	20100201	1
de	14	Carcasonne	20110601	1
de	6	Gouverneur	20111001	1
de	10	Prinz	20140601	1
de	16	Einladung	20150901	1
