_id	language	set_name	name
1	en	Base	First Game
2	en	Base	Big Money
3	en	Base	Interaction
4	en	Base	Size Distortion
5	en	Base	Village Square
6	en	Intrigue	Victory Dance
7	en	Intrigue	Secret Schemes
8	en	Intrigue	Best Wishes
9	en	Intrigue	Deconstruction
10	en	Intrigue	Hand Madness
11	en	Intrigue	Underlings
12	en	Seaside	High Seas
13	en	Seaside	Buried Treasure
14	en	Seaside	Shipwrecks
15	en	Seaside	Reach for Tomorrow
16	en	Seaside	Repetition
17	en	Seaside	Give and Take
18	en	Alchemy	Forbidden Arts
19	en	Alchemy	Potion Mixers
20	en	Alchemy	Chemistry Lesson
21	en	Alchemy	Servants
22	en	Alchemy	Secret Research
23	en	Alchemy	Pools, Tools, and Fools
24	en	Prosperity	Beginners
25	en	Prosperity	Friendly Interactive
26	en	Prosperity	Big Actions
27	en	Prosperity	Biggest Money
28	en	Prosperity	The King's Army
29	en	Prosperity	The Good Life
30	en	Prosperity	Paths to Victory
31	en	Prosperity	All Along the Watchtower
32	en	Prosperity	Lucky Seven
33	en	Cornucopia	Bounty of the Hunt
34	en	Cornucopia	Bad Omens
35	en	Cornucopia	The Jester's Workshop
36	en	Cornucopia	Last Laughs
37	en	Cornucopia	The Spice of Life
38	en	Cornucopia	Small Victories
39	en	Hinterlands	Introduction
40	en	Hinterlands	Fair Trades
41	en	Hinterlands	Bargains
42	en	Hinterlands	Gambits
43	en	Hinterlands	Highway Robbery
44	en	Hinterlands	Adventures Abroad
45	en	Hinterlands	Money for Nothing
46	en	Hinterlands	The Duke's Ball
47	en	Hinterlands	Travelers
48	en	Hinterlands	Diplomacy
49	en	Hinterlands	Schemas and Dreams
50	en	Hinterlands	Wine Country
51	en	Hinterlands	Instant Gratification
52	en	Hinterlands	Treasure Trove
53	en	Hinterlands	Blue Harvest
54	en	Hinterlands	Traveling Circus
55	en	Dark Ages	Grim Parade
56	en	Dark Ages	Playing Chess With Death
57	en	Dark Ages	High and Low
58	en	Dark Ages	Chivalry and Revelry
59	en	Dark Ages	Prophecy
60	en	Dark Ages	Invasion
61	en	Dark Ages	Watery Graves
62	en	Dark Ages	Peasants
63	en	Dark Ages	Infestations
64	en	Dark Ages	Lamentations
65	en	Dark Ages	One Man's Trash
66	en	Dark Ages	Honor Among Thieves
67	en	Dark Ages	Dark Carnival
68	en	Dark Ages	To the Victor
69	en	Dark Ages	Far From Home
70	en	Dark Ages	Expeditions
71	en	Guilds	Arts and Crafts
72	en	Guilds	Clean Living
73	en	Guilds	Gilding the Lily
74	en	Guilds	Name That Card
75	en	Guilds	Tricks of the Trade
76	en	Guilds	Decisions, Decisions
77	en	Adventures	Prince of Orange
78	en	Adventures	Gifts and Mathoms
79	en	Adventures	Last Will and Monument
80	en	Adventures	Think Big
81	en	Adventures	The Hero's Return
82	en	Adventures	Seacraft and Witchcraft
83	en	Adventures	Traders and Raiders
84	en	Adventures	Journeys
85	en	Adventures	Cemetery Polka
86	en	Adventures	Groovy Decay
87	en	Adventures	Spendthrift
88	en	Adventures	Queen of Tan
