_id	language	name
1	cs	First Game
2	cs	Big Money
3	cs	Interaction
4	cs	Size Distortion
5	cs	Village Square
6	cs	Victory Dance
7	cs	Secret Schemes
8	cs	Best Wishes
9	cs	Deconstruction
10	cs	Hand Madness
11	cs	Underlings
12	cs	High Seas
13	cs	Buried Treasure
14	cs	Shipwrecks
15	cs	Reach for Tomorrow
16	cs	Repetition
17	cs	Give and Take
18	cs	Forbidden Arts
19	cs	Potion Mixers
20	cs	Chemistry Lesson
21	cs	Servants
22	cs	Secret Research
23	cs	Pools, Tools, and Fools
24	cs	Beginners
25	cs	Friendly Interactive
26	cs	Big Actions
27	cs	Biggest Money
28	cs	The King's Army
29	cs	The Good Life
30	cs	Paths to Victory
31	cs	All Along the Watchtower
32	cs	Lucky Seven
33	cs	Bounty of the Hunt
34	cs	Bad Omens
35	cs	The Jester's Workshop
36	cs	Last Laughs
37	cs	The Spice of Life
38	cs	Small Victories
39	cs	Introduction
40	cs	Fair Trades
41	cs	Bargains
42	cs	Gambits
43	cs	Highway Robbery
44	cs	Adventures Abroad
45	cs	Money for Nothing
46	cs	The Duke's Ball
47	cs	Travelers
48	cs	Diplomacy
49	cs	Schemas and Dreams
50	cs	Wine Country
51	cs	Instant Gratification
52	cs	Treasure Trove
53	cs	Blue Harvest
54	cs	Traveling Circus
