_id	language	name
1	en	First Game
2	en	Big Money
3	en	Interaction
4	en	Size Distortion
5	en	Village Square
6	en	Victory Dance
7	en	Secret Schemes
8	en	Best Wishes
9	en	Deconstruction
10	en	Hand Madness
11	en	Underlings
12	en	High Seas
13	en	Buried Treasure
14	en	Shipwrecks
15	en	Reach for Tomorrow
16	en	Repetition
17	en	Give and Take
18	en	Forbidden Arts
19	en	Potion Mixers
20	en	Chemistry Lesson
21	en	Servants
22	en	Secret Research
23	en	Pools, Tools, and Fools
24	en	Beginners
25	en	Friendly Interactive
26	en	Big Actions
27	en	Biggest Money
28	en	The King's Army
29	en	The Good Life
30	en	Paths to Victory
31	en	All Along the Watchtower
32	en	Lucky Seven
33	en	Bounty of the Hunt
34	en	Bad Omens
35	en	The Jester's Workshop
36	en	Last Laughs
37	en	The Spice of Life
38	en	Small Victories
39	en	Introduction
40	en	Fair Trades
41	en	Bargains
42	en	Gambits
43	en	Highway Robbery
44	en	Adventures Abroad
45	en	Money for Nothing
46	en	The Duke's Ball
47	en	Travelers
48	en	Diplomacy
49	en	Schemas and Dreams
50	en	Wine Country
51	en	Instant Gratification
52	en	Treasure Trove
53	en	Blue Harvest
54	en	Traveling Circus
55	en	Grim Parade
56	en	Playing Chess With Death
57	en	High and Low
58	en	Chivalry and Revelry
59	en	Prophecy
60	en	Invasion
61	en	Watery Graves
62	en	Peasants
63	en	Infestations
64	en	Lamentations
65	en	One Man's Trash
66	en	Honor Among Thieves
67	en	Dark Carnival
68	en	To the Victor
69	en	Far From Home
70	en	Expeditions
71	en	Arts and Crafts
72	en	Clean Living
73	en	Gilding the Lily
74	en	Name That Card
75	en	Tricks of the Trade
76	en	Decisions, Decisions
77	en	Gentle Intro
78	en	Expert Intro
79	en	Level Up
80	en	Son of Size Distortion
81	en	Royalty Factory
82	en	Masters of Finance
83	en	Prince of Orange
84	en	Gifts and Mathoms
85	en	Last Will and Monument
86	en	Think Big
87	en	The Hero's Return
88	en	Seacraft and Witchcraft
89	en	Traders and Raiders
90	en	Journeys
91	en	Cemetery Polka
92	en	Groovy Decay
93	en	Spendthrift
94	en	Queen of Tan
95	en	Basic Intro
96	en	Advanced Intro
97	en	Everything in Moderation
98	en	Silver Bullets
99	en	Delicious Torture
100	en	Buddy System
101	en	Boxed In
102	en	King of the Sea
103	en	Collectors
104	en	Big Time
105	en	Gilded Gates
106	en	Zookeepers
107	en	Cash Flow
108	en	Simple Plans
109	en	Expansion
110	en	Tomb of the Rat King
111	en	Triumph of the Bandit King
112	en	The Squire's Ritual
113	en	Area Control
114	en	No Money No Problems
