_id	language	name
1	es	Primeras partidas
2	es	Dinero a raudales
3	es	Interacción
4	es	Distorsión de tamañ
5	es	Plaza del pueblo
6	es	La danza de la victoria
7	es	Planes secretos
8	es	Mis mejores deseos
9	es	Deconstrucción
10	es	Locura de mano
11	es	Subalternos
18	es	Artes prohibidas
19	es	Mezcladores de pociones
20	es	Lección de química
21	es	Sirvientes
22	es	Investigación secreta
23	es	Agua, herramientas y locos
24	es	Principiantes
25	es	Roce amistoso
26	es	Grandes acciones
27	es	Más dinero
28	es	El ejército del rey
29	es	La buena vida
30	es	Caminos hacia la victoria
31	es	Desde la atalaya
32	es	Que haya suerte
33	es	Cacería con premio
34	es	Malos presagios
35	es	El taller del bufón
36	es	Quien ríe último
37	es	La salsa de la vida
38	es	Pequeñas victorias
