_id	language	name
1	fi	First Game
2	fi	Big Money
3	fi	Interaction
4	fi	Size Distortion
5	fi	Village Square
6	fi	Victory Dance
7	fi	Secret Schemes
8	fi	Best Wishes
9	fi	Deconstruction
10	fi	Hand Madness
11	fi	Underlings
12	fi	High Seas
13	fi	Buried Treasure
14	fi	Shipwrecks
15	fi	Reach for Tomorrow
16	fi	Repetition
17	fi	Give and Take
18	fi	Forbidden Arts
19	fi	Potion Mixers
20	fi	Chemistry Lesson
21	fi	Servants
22	fi	Secret Research
23	fi	Pools, Tools, and Fools
24	fi	Beginners
25	fi	Friendly Interactive
26	fi	Big Actions
27	fi	Biggest Money
28	fi	The King's Army
29	fi	The Good Life
30	fi	Paths to Victory
31	fi	All Along the Watchtower
32	fi	Lucky Seven
33	fi	Bounty of the Hunt
34	fi	Bad Omens
35	fi	The Jester's Workshop
36	fi	Last Laughs
37	fi	The Spice of Life
38	fi	Small Victories
39	fi	Introduction
40	fi	Fair Trades
41	fi	Bargains
42	fi	Gambits
43	fi	Highway Robbery
44	fi	Adventures Abroad
45	fi	Money for Nothing
46	fi	The Duke's Ball
47	fi	Travelers
48	fi	Diplomacy
49	fi	Schemas and Dreams
50	fi	Wine Country
51	fi	Instant Gratification
52	fi	Treasure Trove
53	fi	Blue Harvest
54	fi	Traveling Circus
55	fi	Grim Parade
56	fi	Playing Chess With Death
57	fi	High and Low
58	fi	Chivalry and Revelry
59	fi	Prophecy
60	fi	Invasion
61	fi	Watery Graves
62	fi	Peasants
63	fi	Infestations
64	fi	Lamentations
65	fi	One Man's Trash
66	fi	Honor Among Thieves
67	fi	Dark Carnival
68	fi	To the Victor
69	fi	Far From Home
70	fi	Expeditions
71	fi	Arts and Crafts
72	fi	Clean Living
73	fi	Gilding the Lily
74	fi	Name That Card
75	fi	Tricks of the Trade
76	fi	Decisions, Decisions
77	fi	Gentle Intro
78	fi	Expert Intro
79	fi	Level Up
80	fi	Son of Size Distortion
81	fi	Royalty Factory
82	fi	Masters of Finance
83	fi	Prince of Orange
84	fi	Gifts and Mathoms
85	fi	Last Will and Monument
86	fi	Think Big
87	fi	The Hero's Return
88	fi	Seacraft and Witchcraft
89	fi	Traders and Raiders
90	fi	Journeys
91	fi	Cemetery Polka
92	fi	Groovy Decay
93	fi	Spendthrift
94	fi	Queen of Tan
