_id	language	name
1	it	Prima partita
2	it	Soldi facili
3	it	Interazione
4	it	Distorsione dimensionale
5	it	Piazza del villaggio
6	it	Vittoria ballerina
7	it	Trame segrete
8	it	Cordiali saluti
9	it	Demolizione
10	it	Mani bucate
11	it	Padrone e sotto 
12	it	Alto mare
13	it	Tesori sepolti
14	it	Navi naufragate
15	it	Arrivare a domani
16	it	Ripetizione
17	it	Dai e prendi
18	it	Arti proibite
19	it	Mescolare Pozioni
20	it	Lezioni di chimica
21	it	Servitori
22	it	Ricerche segrete
23	it	Alambicchi e follia
24	it	Principianti
25	it	Interazioni amichevoli
26	it	Grandi gesta
27	it	Grandi affari
28	it	L'esercito del re
29	it	Bella vita
30	it	La strada per il successo
31	it	All Along the Watchtower
32	it	Colpo fortunato
33	it	Caccia proficua
34	it	Foschi presagi
35	it	Trucchi da giullare
36	it	Ride bene chi ride ultimo
37	it	Il sale della vita
38	it	Piccole vittorie
39	it	Introduzione
40	it	Commercio equo
41	it	Occasioni
42	it	Stratagemmi
43	it	Assalto alla diligenza
44	it	Avventure all'estero
45	it	Soldi facili
46	it	Il ballo del duca
47	it	Viaggiatori
48	it	Diplomazia
49	it	Schemi e sogni
50	it	Terra dei vini
51	it	Gratificazione immediata
52	it	Tesoro
53	it	Raccolto blu
54	it	Circo itinerante
