_id	language	name
1	jp	First Game
2	jp	Big Money
3	jp	Interaction
4	jp	Size Distortion
5	jp	Village Square
6	jp	Victory Dance
7	jp	Secret Schemes
8	jp	Best Wishes
9	jp	Deconstruction
10	jp	Hand Madness
11	jp	Underlings
12	jp	High Seas
13	jp	Buried Treasure
14	jp	Shipwrecks
15	jp	Reach for Tomorrow
16	jp	Repetition
17	jp	Give and Take
18	jp	Forbidden Arts
19	jp	Potion Mixers
20	jp	Chemistry Lesson
21	jp	Servants
22	jp	Secret Research
23	jp	Pools, Tools, and Fools
24	jp	Beginners
25	jp	Friendly Interactive
26	jp	Big Actions
27	jp	Biggest Money
28	jp	The King's Army
29	jp	The Good Life
30	jp	Paths to Victory
31	jp	All Along the Watchtower
32	jp	Lucky Seven
33	jp	Bounty of the Hunt
34	jp	Bad Omens
35	jp	The Jester's Workshop
36	jp	Last Laughs
37	jp	The Spice of Life
38	jp	Small Victories
39	jp	Introduction
40	jp	Fair Trades
41	jp	Bargains
42	jp	Gambits
43	jp	Highway Robbery
44	jp	Adventures Abroad
45	jp	Money for Nothing
46	jp	The Duke's Ball
47	jp	Travelers
48	jp	Diplomacy
49	jp	Schemas and Dreams
50	jp	Wine Country
51	jp	Instant Gratification
52	jp	Treasure Trove
53	jp	Blue Harvest
54	jp	Traveling Circus
55	jp	Grim Parade
56	jp	Playing Chess With Death
57	jp	High and Low
58	jp	Chivalry and Revelry
59	jp	Prophecy
60	jp	Invasion
61	jp	Watery Graves
62	jp	Peasants
63	jp	Infestations
64	jp	Lamentations
65	jp	One Man's Trash
66	jp	Honor Among Thieves
67	jp	Dark Carnival
68	jp	To the Victor
69	jp	Far From Home
70	jp	Expeditions
71	jp	Arts and Crafts
72	jp	Clean Living
73	jp	Gilding the Lily
74	jp	Name That Card
75	jp	Tricks of the Trade
76	jp	Decisions, Decisions
77	jp	Gentle Intro
78	jp	Expert Intro
79	jp	Level Up
80	jp	Son of Size Distortion
81	jp	Royalty Factory
82	jp	Masters of Finance
83	jp	Prince of Orange
84	jp	Gifts and Mathoms
85	jp	Last Will and Monument
86	jp	Think Big
87	jp	The Hero's Return
88	jp	Seacraft and Witchcraft
89	jp	Traders and Raiders
90	jp	Journeys
91	jp	Cemetery Polka
92	jp	Groovy Decay
93	jp	Spendthrift
94	jp	Queen of Tan
