_id	language	name
1	ko	First Game
2	ko	Big Money
3	ko	Interaction
4	ko	Size Distortion
5	ko	Village Square
6	ko	Victory Dance
7	ko	Secret Schemes
8	ko	Best Wishes
9	ko	Deconstruction
10	ko	Hand Madness
11	ko	Underlings
12	ko	High Seas
13	ko	Buried Treasure
14	ko	Shipwrecks
15	ko	Reach for Tomorrow
16	ko	Repetition
17	ko	Give and Take
55	ko	Grim Parade
56	ko	Playing Chess With Death
57	ko	High and Low
58	ko	Chivalry and Revelry
59	ko	Prophecy
60	ko	Invasion
61	ko	Watery Graves
62	ko	Peasants
63	ko	Infestations
64	ko	Lamentations
65	ko	One Man's Trash
66	ko	Honor Among Thieves
67	ko	Dark Carnival
68	ko	To the Victor
69	ko	Far From Home
70	ko	Expeditions
71	ko	Arts and Crafts
72	ko	Clean Living
73	ko	Gilding the Lily
74	ko	Name That Card
75	ko	Tricks of the Trade
76	ko	Decisions, Decisions
