_id	language	name
1	pl	First Game
2	pl	Big Money
3	pl	Interaction
4	pl	Size Distortion
5	pl	Village Square
6	pl	Victory Dance
7	pl	Secret Schemes
8	pl	Best Wishes
9	pl	Deconstruction
10	pl	Hand Madness
11	pl	Underlings
12	pl	High Seas
13	pl	Buried Treasure
14	pl	Shipwrecks
15	pl	Reach for Tomorrow
16	pl	Repetition
17	pl	Give and Take
24	pl	Beginners
25	pl	Friendly Interactive
26	pl	Big Actions
27	pl	Biggest Money
28	pl	The King's Army
29	pl	The Good Life
30	pl	Paths to Victory
31	pl	All Along the Watchtower
32	pl	Lucky Seven
33	pl	Bounty of the Hunt
34	pl	Bad Omens
35	pl	The Jester's Workshop
36	pl	Last Laughs
37	pl	The Spice of Life
38	pl	Small Victories
